,DTronc,LTronc,DChar,LChar,DChar1,LChar1,DChar2,LChar2,DChar3,LChar3,DChar4,LChar4,NumRam,DRam,LRam,PFr1,DFr1,PFr2,DFr2,PFr3,DFr3,PFr4,DFr4,PFr6,DFr6,DChar5,LChar5,PFr5,DFr5
0,66.5,40,39.0,40.0,53.75,1.0,,,,,,,R1,6.14,50.0,112.0,56.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1,66.5,40,39.0,40.0,53.75,1.0,6.14,4.0,,,,,R2,5.21,51.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2,66.5,40,39.0,58.0,14.2,7.3,,,,,,,R3,7.1,1.6,72.0,47.5,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,66.5,40,39.0,17.0,62.2,10.0,,,,,,,R4,9.05,59.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
4,66.5,40,39.0,17.0,62.2,35.0,20.86,1.0,,,,,R5,7.48,59.0,200.0,71.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
5,66.5,40,39.0,17.0,62.2,14.0,14.55,6.0,,,,,R6,4.6,32.0,174.0,67.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
6,66.5,40,39.0,17.0,62.2,14.0,14.55,7.0,,,,,R7,5.71,49.0,156.0,65.0,116.0,56.0,48.0,44.0,,,0.0,0.0,0.0,0.0,0.0,0.0
7,66.5,40,39.0,17.0,62.2,-6.5,13.33,2.0,,,,,R8,8.2,49.0,130.0,60.5,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
8,66.5,40,39.0,17.0,62.2,-6.5,13.33,6.0,,,,,R9,5.32,47.0,104.0,53.5,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
9,66.5,40,39.0,17.0,62.2,14.0,,,,,,,R10,7.42,65.0,68.0,45.0,46.0,40.0,42.0,38.0,54.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
10,66.5,40,39.0,17.0,62.2,22.0,,,,,,,R11,8.06,68.0,148.0,62.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
11,66.5,40,39.0,17.0,62.2,6.0,14.21,8.0,,,,,R12,7.85,86.0,138.0,60.0,76.0,49.5,80.0,48.0,58.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
12,66.5,40,39.0,17.0,62.2,23.0,,,,,,,R13,13.51,79.0,198.0,71.0,180.0,69.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
13,66.5,40,39.0,17.0,62.2,10.0,36.6,3.0,13.92,9.0,,,R14,9.5,94.0,156.0,62.0,120.0,57.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
