,DTronc,LTronc,DChar,LChar,DChar1,LChar1,DChar2,LChar2,DChar3,LChar3,DChar4,LChar4,DChar5,LChar5,NumRam,DRam,LRam,PFr1,DFr1,PFr2,DFr2,PFr3,DFr3,PFr4,DFr4,PFr5,DFr5,PFr6,DFr6
0,75.0,34.0,34.5,51.0,73.5,9.5,12.3,40.0,6.0,52.0,,,,,R 1,4.1,23.0,100.0,56.5,100.0,55.94,,,,,,,,
1,75.0,34.0,34.5,51.0,73.5,11.5,,,,,,,,,R 2,8.9,33.0,110.0,59.35,,,,,,,,,,
2,75.0,34.0,34.5,68.0,29.4,34,,,,,,,,,R 3,6.1,55.0,90.0,56.09,,,,,,,,,,
3,75.0,34.0,34.5,68.0,29.4,71,10.9,34.0,,,,,,,R 4,5.0,56.3,120.0,61.57,120.0,61.84,,,,,,,,
4,75.0,34.0,34.5,94.0,37.7,0,14.1,27.0,10.0,44.7,,,,,R 5,6.1,52.0,150.0,68.02,90.0,56.8,,,,,,,,
5,75.0,34.0,34.5,96.5,23.5,55,,,,,,,,,R 6,4.9,25.0,,,,,,,,,,,,
6,75.0,34.0,34.5,125.0,65.4,4.5,,,,,,,,,R 7,6.2,40.0,140.0,65.18,,,,,,,,,,
7,75.0,34.0,34.5,188.0,66.8,0,26.2,0.0,13.2,12.7,,,,,R 8,4.4,35.0,120.0,58.88,,,,,,,,,,
8,75.0,34.0,34.5,188.0,66.8,0,26.2,0.0,13.2,20.7,,,,,R 9,4.4,27.0,100.0,58.61,,,,,,,,,,
9,75.0,34.0,34.5,188.0,66.8,0,26.2,0.0,13.2,43.2,,,,,R 10,3.9,26.0,120.0,63.11,,,,,,,,,,
10,75.0,34.0,34.5,188.0,66.8,0,,,,,,,,,R 11,5.4,24.0,,,,,,,,,,,,
11,75.0,34.0,34.5,188.0,66.8,0,,,,,,,,,R 12,5.8,67.0,160.0,67.6,,,,,,,,,,
12,75.0,34.0,34.5,190.5,106.3,7.5,73.1,0.0,20.4,21.0,,,,,R 13,5.5,50.0,130.0,65.64,110.0,60.51,130.0,60.31,,,,,,
13,75.0,34.0,34.5,190.5,106.3,7.5,73.1,0.0,20.4,44.0,,,,,R 14,8.4,86.0,180.0,71.56,160.0,69.5,100.0,59.99,,,,,,
