DTronc,LTronc,DChar,LChar,DChar1,LChar1,DChar2,LChar2,DChar3,LChar3,DChar4,LChar4,NumRam,DRam,LRam,PFr1,DFr1,PFr2,DFr2,PFr3,DFr3,PFr4,DFr4,PFr6,DFr6,DChar5,LChar5,PFr5,DFr5,year
66.5,40,39,40,53.75,1,,,,,,,R1,6.14,50,112,56,,,,,,,0,0,0,0,0,0,2019
66.5,40,39,40,53.75,1,6.14,4,,,,,R2,5.21,51,,,,,,,,,0,0,0,0,0,0,2019
66.5,40,39,58,14.2,7.3,,,,,,,R3,7.1,1.6,72,47.5,,,,,,,0,0,0,0,0,0,2019
66.5,40,39,17,62.2,10,,,,,,,R4,9.05,59,,,,,,,,,0,0,0,0,0,0,2019
66.5,40,39,17,62.2,35,20.86,1,,,,,R5,7.48,59,200,71,,,,,,,0,0,0,0,0,0,2019
66.5,40,39,17,62.2,14,14.55,6,,,,,R6,4.6,32,174,67,,,,,,,0,0,0,0,0,0,2019
66.5,40,39,17,62.2,14,14.55,7,,,,,R7,5.71,49,156,65,116,56,48,44,,,0,0,0,0,0,0,2019
66.5,40,39,17,62.2,-6.5,13.33,2,,,,,R8,8.2,49,130,60.5,,,,,,,0,0,0,0,0,0,2019
66.5,40,39,17,62.2,-6.5,13.33,6,,,,,R9,5.32,47,104,53.5,,,,,,,0,0,0,0,0,0,2019
66.5,40,39,17,62.2,14,,,,,,,R10,7.42,65,68,45,46,40,42,38,54,46,0,0,0,0,0,0,2019
66.5,40,39,17,62.2,22,,,,,,,R11,8.06,68,148,62,,,,,,,0,0,0,0,0,0,2019
66.5,40,39,17,62.2,6,14.21,8,,,,,R12,7.85,86,138,60,76,49.5,80,48,58,47,0,0,0,0,0,0,2019
66.5,40,39,17,62.2,23,,,,,,,R13,13.51,79,198,71,180,69,,,,,0,0,0,0,0,0,2019
66.5,40,39,17,62.2,10,36.6,3,13.92,9,,,R14,9.5,94,156,62,120,57,,,,,0,0,0,0,0,0,2019
66.5,40,39,17,62.2,10,36.6,3,13.92,4,,,R15,9.53,66,158,66,174,51,,,,,0,0,0,0,0,0,2019
66.5,40,39,17,62.2,-10,,,,,,,R16,6.93,45,176,64.5,158,63.5,,,,,0,0,0,0,0,0,2019
66.5,40,39,17,62.2,-15,,,,,,,R17,6.5,24,118,64,88,65,,,,,0,0,0,0,0,0,2019
66.5,40,39,17,62.2,23,26,4,,,,,R18,4.76,27,162,65.5,,,,,,,0,0,0,0,0,0,2019
66.5,40,39,17,62.2,23,26,23,14.24,3.5,,,R19,11.95,108,146,66,164,68,116,64.5,,,0,0,0,0,0,0,2019
66.5,40,39,17,62.2,23,26,0,16.06,42,14.54,8,R20,10.8,95,238,77,,,,,,,0,0,0,0,0,0,2019
66.5,40,39,17,62.2,23,26,0,16.06,42,14.54,6,R21,8.18,60,166,55,,,,,,,0,0,0,0,0,0,2019
66.5,40,39,0,,,,,,,,,R22,4.58,32,110,61.5,,,,,,,0,0,0,0,0,0,2019
