,DTronc,LTronc,DChar,LChar,DChar1,LChar1,DChar2,LChar2,DChar3,LChar3,DChar4,LChar4,DChar5,LChar5,NumRam,DRam,LRam,PFr1,DFr1,PFr2,DFr2,PFr3,DFr3,PFr4,DFr4,PFr5,DFr5,PFr6,DFr6
0,71.0,48.0,37.0,86.0,32.2,14.0,21.8,2.0,16.7,11.5,13.7,,,,R2,7.45,73.0,95.0,55.03,94.0,55.18,90.0,51.94,101,53.55,94.0,54.77,,
1,71.0,48.0,37.0,86.0,32.2,20.0,21.6,49.0,13.79,19.0,9.31,1.9,,,R3,5.39,49.3,63.0,46.22,65.0,47.36,,,,,,,,
2,71.0,48.0,37.0,86.0,32.2,20.0,21.6,49.0,13.79,24.2,9.8,11.0,11.2,7.0,R4,5.65,30.0,49.0,42.67,,,,,,,,,,
3,71.0,48.0,37.0,86.0,32.2,20.0,21.6,49.0,13.79,24.2,9.8,11.0,11.2,9.5,R5,4.75,31.0,68.0,48.29,49.0,45.56,775.0,50.17,,,,,,
4,71.0,48.0,37.0,86.0,42.19,7.0,,,,,,,,,R6,6.68,79.0,89.0,53.46,86.0,52.68,66.0,47.33,,,,,,
5,71.0,48.0,37.0,86.0,42.19,69.0,27.9,4.5,17.8,5.5,16.65,4.0,,,R7,8.85,73.0,114.0,58.69,140.0,62.91,,,,,,,,
6,71.0,48.0,37.0,86.0,42.19,69.0,27.9,7.5,19.5,1.5,,,,,R8,7.74,64.0,100.0,55.43,107.0,56.06,72.0,49.07,103,55.71,,,,
7,71.0,48.0,37.0,86.0,19.7,22.0,,,,,,,,,R9,7.25,62.0,106.0,55.69,75.0,51.32,73.0,49.14,73,49.93,77.0,50.24,,
8,71.0,48.0,37.0,86.0,19.7,22.0,11.16,12.0,,,,,,,R10,9.0,86.0,97.0,56.01,139.0,63.7,138.0,62.06,149,65.49,,,,
9,71.0,48.0,37.0,175.0,62.9,41.0,,,,,,,,,R11,5.6,31.9,165.0,67.35,86.0,51.63,,,,,,,,
10,71.0,48.0,37.0,175.0,62.9,58.0,,,,,,,,,R12,10.5,88.0,118.0,59.97,138.0,62.15,137.0,63.42,139,64.31,96.0,55.31,132.0,61.38
11,71.0,48.0,37.0,175.0,62.9,67.0,,,,,,,,,R13,4.88,25.2,165.0,66.97,120.0,62.05,,,,,,,,
12,71.0,48.0,37.0,175.0,62.9,74.0,57.4,2.5,,,,,,,R14,7.0,43.2,92.0,53.23,110.0,58.46,131.0,62.42,,,,,,
13,71.0,48.0,37.0,175.0,62.9,74.0,57.4,5.5,9.79,4.0,,,,,R15,4.11,18.0,177.0,68.9,,,,,,,,,,
14,71.0,48.0,37.0,175.0,62.9,74.0,57.4,5.5,9.79,13.0,,,,,R16,6.28,25.0,142.0,64.0,,,,,,,,,,
15,71.0,48.0,37.0,175.0,62.9,74.0,57.4,13.5,29.04,7.0,,,,,R17,5.84,45.9,140.0,67.37,112.0,59.91,118.0,59.97,,,,,,
16,71.0,48.0,37.0,175.0,62.9,74.0,57.4,13.5,29.04,18.0,,,,,R18,8.5,54.0,103.0,56.26,168.0,74.14,128.0,60.69,,,,,,
17,71.0,48.0,37.0,175.0,62.9,74.0,57.4,13.5,29.04,28.0,,,,,R19,6.09,37.0,171.0,68.13,171.0,69.41,,,,,,,,
18,71.0,48.0,37.0,175.0,62.9,74.0,57.4,18.5,43.6,1.3,10.36,2.3,,,R20,7.19,45.0,116.0,59.32,103.0,57.22,116.0,59.7,,,,,,
19,71.0,48.0,37.0,175.0,62.9,74.0,57.4,18.5,43.6,3.8,22.7,14.5,,,R21,7.34,58.0,139.0,66.39,155.0,66.26,,,,,,,,
20,71.0,48.0,37.0,175.0,62.9,74.0,57.4,18.5,43.6,3.8,22.7,17.5,,,R22,8.9,61.0,113.0,59.71,138.0,64.09,197.0,69.77,161,67.16,,,,
21,71.0,48.0,37.0,175.0,62.9,74.0,57.4,18.5,43.6,3.8,22.7,39.5,,,R23,10.5,76.0,145.0,64.04,116.0,59.28,163.0,67.46,180,68.03,122.0,61.57,,
22,71.0,48.0,37.0,175.0,62.9,74.0,57.4,18.5,43.6,8.8,15.35,1.0,,,R24,4.61,34.0,112.0,58.47,98.0,55.99,137.0,64.12,,,,,,
23,71.0,48.0,37.0,175.0,62.9,74.0,57.4,18.5,43.6,8.8,15.35,2.2,,,R25,6.6,51.0,167.0,67.21,129.0,61.68,166.0,67.83,166,67.12,,,,
24,71.0,48.0,37.0,175.0,62.9,74.0,57.4,18.5,43.6,28.8,20.41,6.7,,,R26,5.87,27.0,142.0,63.26,148.0,62.62,132.0,62.57,,,,,,
25,71.0,48.0,37.0,175.0,62.9,74.0,57.4,18.5,43.6,28.8,20.41,9.7,14.95,6.2,R27,7.3,60.0,140.0,64.12,159.0,66.55,220.0,74.28,,,,,,
26,71.0,48.0,37.0,218.0,67.8,12.0,30.27,14.0,13.67,15.0,,,,,R28,5.0,35.0,156.0,65.17,,,,,,,,,,
27,71.0,48.0,37.0,218.0,67.8,12.0,30.27,20.0,,,,,,,R29,5.95,34.0,156.0,66.42,119.0,59.17,195.0,70.51,,,,,,
28,71.0,48.0,37.0,218.0,67.8,12.0,30.27,24.9,10.8,8.0,,,,,R30,4.97,45.0,187.0,72.15,152.0,66.79,120.0,60.9,,,,,,
29,71.0,48.0,37.0,218.0,67.8,12.0,30.27,24.9,10.8,14.5,,,,,R31,5.0,28.0,88.0,54.46,162.0,66.46,140.0,64.28,,,,,,
30,71.0,48.0,37.0,218.0,67.8,12.0,30.27,32.9,18.35,3.5,,,,,R32,5.46,37.0,149.0,65.14,75.0,48.25,180.0,70.91,192,71.98,,,,
31,71.0,48.0,37.0,218.0,67.8,12.0,30.27,32.9,18.35,3.5,,,,,R33,5.47,46.0,201.0,73.64,170.0,69.42,160.0,65.7,,,,,,
32,71.0,48.0,37.0,218.0,67.8,12.0,36.8,3.0,16.5,10.0,,,,,R34,6.6,61.0,176.0,70.49,176.0,68.65,,,,,,,,
33,71.0,48.0,37.0,218.0,67.8,12.0,36.8,6.0,,,,,,,R35,9.4,76.5,143.0,63.49,138.0,62.82,139.0,60.74,133,62.12,,,,
34,71.0,48.0,37.0,218.0,67.8,12.0,36.8,27.0,19.63,15.0,,,,,R36,7.39,55.0,,,,,140.0,69.25,,,,,,
35,71.0,48.0,37.0,218.0,67.8,12.0,36.8,27.0,19.63,18.2,,,,,R37,7.69,52.0,191.0,71.79,168.0,67.22,149.0,64.81,,,,,,
36,71.0,48.0,37.0,218.0,67.8,51.0,45.5,4.0,42.8,2.5,,,,,R38,6.09,31.2,152.0,66.68,136.0,63.32,,,,,,,,
37,71.0,48.0,37.0,218.0,67.8,51.0,45.5,22.0,32.64,10.0,,,,,R39,4.91,34.5,180.0,69.7,86.0,53.54,,,,,,,,
38,71.0,48.0,37.0,218.0,67.8,51.0,45.5,22.0,32.64,21.0,,,,,R40,6.76,36.0,125.0,62.42,126.0,61.62,,,,,,,,
39,71.0,48.0,37.0,218.0,67.8,51.0,45.5,22.0,32.64,25.0,,,,,R41,7.49,52.0,174.0,69.13,165.0,68.06,185.0,70.86,,,,,,
40,71.0,48.0,37.0,218.0,67.8,51.0,45.5,22.0,32.64,29.2,,,,,R42,7.34,41.0,180.0,70.55,187.0,70.14,167.0,68.28,,,,,,
41,71.0,41.0,38.0,134.0,,,,,,,,,,,R43,12.4,122.0,114.0,59.11,125.0,56.99,131.0,60.37,140,62.6,145.0,65.09,,
42,71.0,41.0,38.0,134.0,63.5,55.0,24.69,1.5,,,,,,,R44,5.22,65.0,150.0,64.28,98.0,54.47,53.0,42.82,,,,,,
43,71.0,41.0,38.0,134.0,63.5,55.0,24.69,3.5,14.8,5.0,11.5,6.3,,,R45,6.54,52.0,103.0,55.38,109.0,57.63,,,,,,,,
44,71.0,41.0,38.0,134.0,63.5,123.0,31.9,7.0,,,,,,,R46,12.7,95.0,157.0,65.8,145.0,62.86,135.0,60.62,173,68.11,,,,
45,71.0,41.0,38.0,134.0,63.5,123.0,31.9,7.0,23.38,11.0,,,,,R47,5.6,51.5,97.0,56.01,108.0,57.37,123.0,59.3,,,,,,
46,71.0,41.0,38.0,134.0,63.5,123.0,31.9,7.0,23.38,20.0,,,,,R48,5.09,23.0,97.0,54.46,,,,,,,,,,
47,71.0,41.0,38.0,134.0,63.5,123.0,31.9,7.0,23.38,23.2,,,,,R49,4.8,28.0,136.0,61.97,125.0,61.0,82.0,53.25,,,,,,
48,71.0,41.0,38.0,134.0,63.5,126.0,34.15,3.0,,,,,,,R50,8.4,72.0,122.0,59.33,118.0,59.4,129.0,61.81,,,,,,
49,71.0,41.0,38.0,134.0,63.5,126.0,34.15,21.5,22.05,5.2,9.57,8.0,,,R51,4.66,32.0,146.0,63.46,156.0,67.06,105.0,58.16,,,,,,
50,71.0,41.0,38.0,134.0,63.5,126.0,34.15,21.5,22.05,8.2,19.71,4.5,,,R52,5.05,29.5,142.0,64.48,,,,,,,,,,
51,71.0,41.0,38.0,134.0,78.5,2.0,,,,,,,,,R53,13.6,125.0,151.0,64.7,166.0,67.11,127.0,60.91,131,60.7,106.0,56.75,119.0,59.37
52,71.0,41.0,38.0,134.0,78.5,27.0,24.5,3.0,13.3,9.0,,,,,R54,5.21,60.0,102.0,57.4,76.0,50.34,77.0,51.48,48,42.21,,,,
53,71.0,41.0,38.0,134.0,78.5,27.0,24.5,3.0,13.3,14.5,,,,,R55,6.6,76.3,150.0,65.02,105.0,57.03,123.0,59.39,115,58.63,74.0,50.52,,
54,71.0,41.0,38.0,134.0,78.5,27.0,59.8,37.0,20.9,9.0,,,,,R56,5.83,36.2,154.0,67.45,126.0,58.79,,,,,,,,
55,71.0,41.0,38.0,134.0,78.5,27.0,59.8,48.0,16.5,3.9,,,,,R57,6.17,45.0,168.0,68.08,,,,,,,,,,
56,71.0,41.0,38.0,134.0,78.5,27.0,59.8,48.0,16.5,6.4,,,,,R58,7.5,70.0,181.0,69.52,80.0,49.66,,,,,,,,
57,71.0,41.0,38.0,134.0,78.5,27.0,59.8,67.0,50.9,34.5,,,,,R59,6.25,37.0,136.0,62.38,164.0,67.31,170.0,66.35,,,,,,
58,71.0,41.0,38.0,134.0,78.5,27.0,59.8,67.0,50.9,43.5,,,,,R60,9.34,68.0,139.0,63.16,127.0,59.1,,,161,65.48,152.0,62.73,,
59,71.0,41.0,38.0,134.0,78.5,27.0,59.8,67.0,50.9,47.7,,,,,R61,5.57,34.2,99.0,56.2,191.0,68.85,,,,,,,,
60,71.0,41.0,38.0,134.0,78.5,27.0,59.8,85.5,50.72,9.5,30.5,27.0,10.5,7.0,R62,9.0,67.0,209.0,71.95,168.0,66.43,133.0,60.72,,,,,,
61,71.0,41.0,38.0,134.0,78.5,27.0,59.8,85.5,50.72,9.5,30.5,34.0,,,R63,7.25,45.0,135.0,63.39,144.0,63.45,193.0,74.2,216,75.06,,,,
62,71.0,41.0,38.0,134.0,78.5,27.0,59.8,85.5,50.72,9.5,30.5,43.0,,,R64,9.78,79.0,171.0,67.52,141.0,62.51,183.0,69.67,155,65.64,194.0,71.62,,
63,71.0,41.0,38.0,134.0,78.5,27.0,59.8,85.5,50.72,14.5,41.71,18.0,30.5,7.0,R65,5.88,32.0,212.0,72.67,220.0,73.91,,,,,,,,
64,71.0,41.0,38.0,134.0,78.5,27.0,59.8,85.5,50.72,14.5,41.71,18.0,30.5,10.5,R66,6.5,32.0,145.0,63.95,128.0,62.14,,,,,,,,
65,71.0,41.0,38.0,134.0,78.5,27.0,59.8,85.5,50.72,14.5,41.71,18.0,30.5,23.5,R67,7.8,36.0,152.0,63.53,178.0,67.64,,,,,,,,
66,71.0,41.0,38.0,134.0,78.5,27.0,59.8,85.5,50.72,14.5,41.71,18.0,30.5,31.5,R68,9.8,72.0,140.0,62.8,135.0,61.98,117.0,60.05,192,71.1,157.0,70.44,,
67,71.0,41.0,38.0,202.0,65.5,12.0,22.6,6.0,7.72,5.0,,,,,R69,5.17,28.0,142.0,63.25,130.0,60.42,,,,,,,,
68,71.0,41.0,38.0,202.0,65.5,12.0,22.6,18.0,7.72,0.0,,,,,R70,4.6,29.5,151.0,65.08,158.0,65.34,161.0,67.13,,,,,,
69,71.0,41.0,38.0,202.0,65.5,18.0,35.8,3.0,22.6,3.0,12.5,3.5,,,R71,9.7,87.0,147.0,64.0,175.0,66.9,180.0,69.99,137,62.87,156.0,65.04,146.0,64.21
70,71.0,41.0,38.0,202.0,65.5,18.0,35.8,3.0,22.6,8.0,,,,,R72,8.7,89.0,147.0,64.65,160.0,67.28,148.0,65.07,150,64.04,196.0,57.2,,
71,71.0,41.0,38.0,202.0,65.5,29.0,12.38,2.0,,,,,,,R73,8.35,47.0,100.0,56.95,185.0,69.87,125.0,60.9,112,57.9,156.0,65.33,,
72,71.0,41.0,38.0,202.0,65.5,29.0,12.38,2.0,,,,,,,R74,6.8,31.0,74.0,52.58,158.0,64.34,103.0,61.5,,,,,,
73,71.0,41.0,38.0,202.0,65.5,59.0,28.9,6.0,12.6,6.0,,,,,R75,4.9,40.5,134.0,60.78,149.0,63.94,180.0,67.89,,,,,,
74,71.0,41.0,38.0,202.0,65.5,59.0,12.38,15.0,7.02,4.0,,,,,R76,5.0,18.0,158.0,65.82,119.0,61.63,,,,,,,,
75,71.0,41.0,38.0,202.0,65.5,59.0,13.38,15.0,8.02,6.0,,,,,R77,4.3,20.0,201.0,73.2,181.0,71.37,,,,,,,,
76,71.0,41.0,38.0,202.0,65.5,63.0,44.25,14.0,36.9,2.0,,,,,R78,8.61,63.0,159.0,65.45,212.0,73.1,194.0,70.67,220,72.5,,,,
77,71.0,41.0,38.0,202.0,65.5,63.0,44.25,14.0,36.9,9.0,14.9,19.0,9.27,8.0,R79,6.17,34.0,152.0,66.85,114.0,59.42,195.0,70.94,,,,,,
78,71.0,53.0,31.0,129.0,39.7,30.0,24.4,3.0,9.39,4.0,,,,,R80,5.5,55.0,142.0,63.58,61.0,50.34,62.0,47.54,118,57.79,,,,
79,71.0,53.0,31.0,129.0,39.7,30.0,24.4,8.0,,,,,,,R81,8.6,74.0,161.0,66.52,123.0,62.12,126.0,60.17,127,64.97,116.0,58.69,,
80,71.0,53.0,31.0,129.0,39.7,30.0,24.4,8.5,,,,,,,R82,7.14,79.0,158.0,66.65,107.0,57.09,103.0,57.08,92,55.3,88.0,53.77,,
81,71.0,53.0,31.0,165.0,34.8,9.0,14.3,2.0,,,,,,,R83,8.7,75.0,149.0,64.89,91.0,55.65,137.0,62.36,165,65.93,153.0,66.21,206.0,72.69
82,71.0,53.0,31.0,165.0,34.8,14.0,16.6,5.0,15.3,7.0,6.0,13.0,,,R84,4.2,26.0,129.0,60.57,124.0,59.41,,,,,,,,
83,71.0,53.0,31.0,259.0,65.55,14.0,10.12,4.0,,,,,,,R85,5.35,44.0,158.0,65.85,123.0,60.93,162.0,65.95,,,,,,
84,71.0,53.0,31.0,259.0,65.55,31.0,39.23,15.0,11.7,11.0,,,,,R86,4.5,23.0,136.0,63.61,165.0,67.78,,,,,,,,
85,71.0,53.0,31.0,259.0,65.55,31.0,39.23,15.0,11.7,22.5,,,,,R87,4.9,32.0,117.0,59.34,155.0,65.09,,,,,,,,
86,71.0,53.0,31.0,259.0,65.55,31.0,39.23,38.0,27.3,8.0,17.76,13.0,,,R88,10.5,94.0,158.0,64.24,183.0,69.25,202.0,72.71,209,79.56,,,,
87,71.0,53.0,31.0,259.0,65.55,31.0,39.23,61.0,27.3,8.0,17.76,17.0,,,R89,5.5,35.0,179.0,68.84,139.0,63.08,168.0,66.71,209,79.56,,,,
88,71.0,53.0,31.0,259.0,65.55,31.0,39.23,65.0,24.9,2.0,,,,,R90,8.4,75.0,156.0,65.57,139.0,62.58,138.0,63.57,142,63.93,168.0,67.11,148.0,63.89
89,71.0,53.0,31.0,259.0,65.55,31.0,39.23,65.0,24.9,15.0,13.7,6.0,,,R91,7.22,47.0,173.0,67.72,136.0,62.81,179.0,70.72,,,,,,
90,71.0,53.0,31.0,259.0,52.39,2.0,15.1,5.0,,,,,,,R92,5.88,27.0,138.0,68.34,183.0,70.27,,,,,,,,
91,71.0,53.0,31.0,259.0,52.39,2.0,15.1,6.5,,,,,,,R93,9.9,89.0,149.0,70.08,172.0,68.3,213.0,75.1,146,62.94,,,,
92,71.0,53.0,31.0,259.0,52.39,2.0,15.1,14.9,,,,,,,R94,6.3,55.0,141.0,63.43,162.0,68.52,,,,,,,,
93,71.0,53.0,31.0,259.0,52.39,32.0,52.7,28.0,21.7,3.5,15.27,15.0,6.47,3.0,R95,5.5,17.0,147.0,67.42,165.0,67.7,,,,,,,,
94,71.0,53.0,31.0,259.0,52.39,32.0,52.7,28.0,21.7,3.5,15.27,19.0,8.4,10.0,R96,5.4,38.0,202.0,75.95,194.0,69.62,126.0,63.21,,,,,,
95,71.0,53.0,31.0,259.0,52.39,32.0,52.7,28.0,21.7,10.5,12.38,21.5,,,R97,9.11,75.5,171.0,66.74,137.0,62.94,136.0,61.8,164,66.07,169.0,68.1,251.0,78.36
96,71.0,53.0,31.0,259.0,52.39,32.0,52.7,33.0,32.43,15.0,20.38,4.0,,,R98,9.72,77.0,155.0,65.96,169.0,66.9,227.0,76.05,Tombé,,166.0,68.93,155.0,66.13
97,71.0,53.0,31.0,259.0,52.39,32.0,52.7,33.0,32.43,18.0,22.88,6.5,,,R99,11.25,84.5,165.0,65.83,165.0,67.93,202.0,72.82,152,65.46,153.0,66.68,,
