,DTronc,LTronc,DChar,LChar,DChar1,LChar1,DChar2,LChar2,DChar4,LChar4,Sum
0,65.5,43.0,37.5,54.0,62.5,39.0,48.0,4.0,,,0.47419992584924076
1,65.5,43.0,37.5,54.0,62.5,39.0,,,15.0,2.5,0.467399217217189
2,65.5,43.0,37.5,54.0,62.5,39.0,,48.0,7.0,3.5,0.4453875454325902
3,65.5,43.0,37.5,54.0,62.5,39.0,,,8.5,4.0,0.48294152959755643
4,65.5,43.0,37.5,54.0,62.5,39.0,,,14.5,4.5,0.44672161131151944
5,65.5,43.0,37.5,54.0,62.5,39.0,,,,4.0,0.5526456071654746
6,65.5,43.0,37.5,54.0,62.5,58.5,,,,,0.4570741635033181
7,65.5,43.0,37.5,54.0,62.5,13.0,,,,,0.5137751766465577
8,65.5,43.0,37.5,54.0,62.5,39.0,,,,,0.4449811935015878
9,65.5,43.0,37.5,54.0,62.5,11.0,17.0,10.0,,,0.46759322897962874
10,65.5,43.0,37.5,54.0,62.5,11.0,,8.0,,,0.4393159748656895
11,65.5,43.0,37.5,54.0,62.5,11.0,,7.0,,,0.521696643947477
12,65.5,43.0,37.5,54.0,62.5,4.0,12.0,8.4,,,0.43166803985490076
13,65.5,43.0,37.5,54.0,62.5,4.0,,3.5,,,0.47302391168679114
14,65.5,43.0,37.5,54.0,62.5,34.0,47.0,64.0,11.0,7.0,0.4622453297025091
15,65.5,43.0,37.5,47.0,61.0,32.0,20.0,10.0,,,0.5521159294685869
16,65.5,43.0,37.5,47.0,61.0,11.0,19.0,9.5,11.0,6.5,0.482787600994974
17,65.5,43.0,37.5,47.0,61.0,11.0,,,,10.0,0.48963858414982564
18,65.5,43.0,37.5,47.0,61.0,11.0,,0.0,,,0.47268261772340425
19,65.5,43.0,37.5,47.0,61.0,65.0,35.0,7.0,,,0.49913098607633777
20,65.5,43.0,37.5,47.0,61.0,65.0,,,,,0.4297514473076709
21,65.5,43.0,37.5,47.0,61.0,65.0,,,,,0.4711419258727637
22,65.5,43.0,37.5,47.0,61.0,65.0,,,16.0,3.5,0.4622023927531914
23,65.5,43.0,37.5,47.0,61.0,65.0,,,,,0.46060384529910114
24,65.5,43.0,37.5,47.0,61.0,40.0,15.5,4.0,,,0.47186626033869683
25,65.5,43.0,37.5,47.0,61.0,40.0,,5.0,,,0.4847598876476641
26,65.5,43.0,37.5,47.0,61.0,26.0,33.0,6.5,,,0.4988043385886536
27,65.5,43.0,37.5,47.0,61.0,26.0,,10.0,,,0.43812947905244226
28,65.5,43.0,37.5,47.0,61.0,26.0,,19.5,,,0.6199963603792212
29,65.5,43.0,37.5,47.0,61.0,26.0,,3.5,,,0.4707947645480647
30,65.5,43.0,37.5,47.0,61.0,26.0,,7.5,,,0.4674877131070435
31,65.5,43.0,37.5,47.0,61.0,26.0,,-10.0,,,0.5522746127487594
32,65.5,43.0,37.5,90.0,67.0,10.5,48.0,12.5,,,0.5003101943878845
33,65.5,43.0,37.5,90.0,67.0,10.5,,,,,0.5198656334224665
34,65.5,43.0,37.5,90.0,67.0,10.5,,,,,0.48719799923367824
35,65.5,43.0,37.5,90.0,67.0,10.5,,,,,0.5879142379030918
36,65.5,43.0,37.5,90.0,67.0,10.5,,,,,0.46561491344039263
37,65.5,43.0,37.5,90.0,67.0,10.5,,,,,0.5673791594943951
38,65.5,43.0,37.5,90.0,67.0,10.5,,,,,0.4549711866429629
39,65.5,43.0,37.5,90.0,67.0,10.5,,,,,0.49243234429851346
40,65.5,43.0,37.5,90.0,67.0,10.5,,,,,0.538129473936242
41,65.5,43.0,37.5,90.0,67.0,10.5,,10.0,19.0,4.0,0.5070633301228719
42,65.5,43.0,37.5,90.0,67.0,10.5,,,,5.5,0.5265078116438184
43,65.5,43.0,37.5,90.0,67.0,10.5,,,,12.5,0.4926912608641082
44,65.5,43.0,37.5,90.0,67.0,10.5,,,,8.0,0.41155194782815663
45,65.5,43.0,37.5,90.0,67.0,10.5,,5.0,9.5,8.5,0.5344642682175217
46,65.5,43.0,37.5,90.0,67.0,10.5,,,11.0,4.0,0.5493545995500227
47,65.5,43.0,37.5,90.0,67.0,10.5,,,,3.5,0.537280618975702
48,65.5,43.0,37.5,90.0,67.0,10.5,,28.0,,,0.5932602784655888
49,65.5,43.0,37.5,90.0,67.0,10.5,,2.0,,,0.5244624987741842
50,65.5,43.0,37.5,90.0,67.0,10.5,,1.5,,,0.6368541446491401
51,65.5,43.0,37.5,90.0,67.0,10.5,,,,,0.5901358060757248
52,65.5,43.0,37.5,90.0,67.0,10.5,,,,,0.5218691026038634
53,65.5,43.0,37.5,90.0,67.0,10.5,,,,,0.48773914379332395
54,65.5,43.0,37.5,90.0,67.0,10.5,,,12.5,6.0,0.5254454470475463
55,65.5,43.0,37.5,124.0,52.0,6.0,,,,,0.5004307694833728
56,65.5,43.0,37.5,124.0,52.0,6.0,12.0,9.0,,,0.5481355437570156
57,65.5,43.0,37.5,124.0,52.0,48.0,10.0,22.0,,,0.539929426449045
58,65.5,43.0,37.5,124.0,52.0,48.0,,7.0,,,0.5125707986906586
59,65.5,43.0,37.5,124.0,52.0,43.0,13.0,4.5,,,0.5069381400345202
60,65.5,43.0,37.5,124.0,52.0,43.0,,9.0,,,0.4799399328535304
61,65.5,43.0,37.5,124.0,52.0,43.0,20.0,8.0,,,0.6007326178820851
62,65.5,43.0,37.5,124.0,52.0,3.0,18.0,3.5,,,0.6195309948195028
63,65.5,43.0,37.5,124.0,52.0,3.0,,3.0,,,0.578099751020671
64,65.5,43.0,37.5,57.0,20.0,18.0,,,,,0.5270547780921573
65,65.5,43.0,37.5,57.0,20.0,9.0,12.0,16.0,,,0.55211645635104
66,65.5,43.0,37.5,57.0,20.0,9.0,,5.0,,,0.5133754642129642
67,65.5,43.0,37.5,57.0,20.0,9.0,,23.0,,,0.5244812902451359
68,65.5,43.0,37.5,57.0,43.5,43.0,13.0,7.0,,,0.585706793526293
69,65.5,43.0,37.5,57.0,43.5,43.0,33.5,30.0,,,0.4988914848114655
70,65.5,43.0,37.5,57.0,43.5,43.0,,,,,0.6112476072020196
71,65.5,43.0,37.5,42.0,90.0,14.0,35.0,3.5,,,0.6407319086312457
72,65.5,43.0,37.5,42.0,90.0,14.0,,13.0,,,0.7789167327890872
73,65.5,43.0,37.5,42.0,90.0,14.0,,13.0,,,0.5429574670700749
74,65.5,43.0,37.5,42.0,90.0,14.0,,,,,0.6320020364962096
75,65.5,43.0,37.5,42.0,90.0,14.0,,,,,0.7173182118575824
76,65.5,43.0,37.5,42.0,90.0,14.0,,,,,0.47949338922403195
77,65.5,43.0,37.5,42.0,90.0,14.0,,,,,0.5192067011411847
78,65.5,43.0,37.5,42.0,90.0,14.0,,,,,0.5157894607798805
79,65.5,43.0,37.5,42.0,90.0,14.0,,,,,0.6666170815881715
80,65.5,43.0,37.5,42.0,90.0,14.0,,,,,0.5424465407354121
81,65.5,43.0,37.5,42.0,90.0,14.0,,,,,0.7000659768815422
82,65.5,43.0,37.5,167.0,49.0,21.0,10.0,10.5,,,0.6315956845652073
83,65.5,43.0,37.5,167.0,49.0,7.5,,,,,0.6225766770577154
84,65.5,43.0,37.5,167.0,49.0,7.5,,,,,0.5859901289479776
85,65.5,43.0,37.5,167.0,49.0,13.0,,,,,0.7016151766630766
86,65.5,43.0,37.5,167.0,49.0,33.0,9.0,7.5,,,0.5273107002534637
87,65.5,43.0,37.5,167.0,49.0,19.0,13.0,13.0,,,0.5496966447634313
88,65.5,43.0,37.5,167.0,49.0,19.0,,13.0,,,0.5557517320299704
89,65.5,43.0,37.5,167.0,56.0,59.0,49.0,5.5,15.0,10.5,0.6631088865169911
90,65.5,43.0,37.5,167.0,56.0,59.0,,,,1.5,0.5480390836806248
91,65.5,43.0,37.5,167.0,56.0,59.0,,,15.0,10.0,0.5756203522691035
92,65.5,43.0,37.5,167.0,56.0,59.0,,,,3.5,0.5439527540605724
93,65.5,43.0,37.5,167.0,56.0,59.0,,,,4.0,0.6157274476306761
94,65.5,43.0,37.5,167.0,56.0,59.0,,0.0,,,0.567094321104079
95,65.5,43.0,37.5,167.0,56.0,59.0,,,,,0.5654066427863065
96,65.5,43.0,37.5,167.0,56.0,59.0,,,,,0.6568419223698082
97,65.5,43.0,37.5,167.0,56.0,59.0,,,,,0.596361878186678
98,65.5,43.0,37.5,167.0,56.0,32.0,48.5,7.0,,,0.48762616749918875
99,65.5,43.0,37.5,167.0,56.0,32.0,,,,,0.5825973908034972
100,65.5,43.0,37.5,167.0,56.0,32.0,,,,,0.5262501125698517
101,65.5,43.0,37.5,167.0,56.0,32.0,,,,,0.5173160529232466
102,65.5,43.0,37.5,167.0,56.0,32.0,,34.0,,,0.5246407815252407
103,65.5,43.0,37.5,167.0,56.0,32.0,,,,,0.5147539820908871
104,65.5,43.0,37.5,167.0,56.0,32.0,,,,,0.5941080637291914
105,65.5,43.0,37.5,104.0,29.0,4.0,9.0,7.0,,,0.6478159174430775
106,65.5,43.0,37.5,104.0,29.0,36.0,,,,,0.5313742195634874
107,65.5,43.0,37.5,104.0,29.0,5.0,10.0,13.0,,,0.5970985946920714
108,65.5,43.0,37.5,104.0,29.0,5.0,,33.0,,,0.5210403220624602
109,65.5,43.0,37.5,53.0,40.0,5.0,32.0,12.0,,,0.5816958486914178
110,65.5,43.0,37.5,53.0,40.0,5.0,,,18.0,22.0,0.5310781057036845
111,65.5,43.0,37.5,53.0,40.0,5.0,,,,18.0,0.5080791111151246
112,65.5,43.0,37.5,53.0,40.0,5.0,,,,9.5,0.5249851254232389
113,65.5,43.0,37.5,53.0,71.0,7.5,39.0,22.0,,,0.7273799499308883
114,65.5,43.0,37.5,53.0,71.0,7.5,,9.0,,,0.5415387574936559
115,65.5,43.0,37.5,53.0,71.0,7.5,,50.0,,,0.538320095404434
116,65.5,43.0,37.5,53.0,71.0,7.5,,,,,0.5342967677929066
117,65.5,43.0,37.5,53.0,71.0,7.5,,,,,0.5729207128635697
118,65.5,43.0,37.5,53.0,71.0,7.5,,,,,0.7652380313768464
119,65.5,43.0,37.5,48.0,71.0,26.0,66.0,34.0,11.0,4.0,0.6140749702742682
120,65.5,43.0,37.5,48.0,71.0,26.0,,,,,0.728968651122235
121,65.5,43.0,37.5,48.0,71.0,26.0,,,,,0.49588643454728665
122,65.5,43.0,37.5,48.0,71.0,26.0,,23.0,28.0,18.0,0.49365815182037054
123,65.5,43.0,37.5,48.0,71.0,26.0,,,,6.0,0.7728820208223407
124,65.5,43.0,37.5,48.0,71.0,26.0,,,,12.0,0.5812237257171937
125,65.5,43.0,37.5,48.0,71.0,26.0,,,31.0,,0.5391247609267394
