DTronc,LTronc,DChar,LChar,DChar1,LChar1,DChar2,LChar2,DChar3,LChar3,DChar4,LChar4,DChar5,LChar5,NumRam,DRam,LRam,PFr1,DFr1,PFr2,DFr2,PFr3,DFr3,PFr4,DFr4,PFr5,DFr5,PFr6,DFr6,year
65.5,43,37.5,54,62.5,39,48,4,13.5,12,,,,,R1,6,48.5,119,63.5,151,62.5,136,64.5,,,,,,,2019
65.5,43,37.5,54,62.5,39,,,,,15,2.5,,,R2,9,68,129,64,136,67,140,67.5,147,65,,,,,2019
65.5,43,37.5,54,62.5,39,,48,19,23,7,3.5,,,R3,5,19,135,60,112,63.5,,,,,,,,,2019
65.5,43,37.5,54,62.5,39,,,,5.5,8.5,4,,,R4,6,49,192,70,116,66.5,119,64,,,,,,,2019
65.5,43,37.5,54,62.5,39,,,,28,14.5,4.5,,,R5,10,44.5,119,67.5,127,65,139,67,,,,,,,2019
65.5,43,37.5,54,62.5,39,,,,,,4,,,R6,9,73,163,65,161,67,162,65,160,69,,,,,2019
65.5,43,37.5,54,62.5,58.5,,,,,,,,,R7,9,72.5,123,60,131,63.5,144,67.5,,,,,,,2019
65.5,43,37.5,54,62.5,13,,,,,,,,,R8,11,71,153,62,123,64,162,69,171,67,,,,,2019
65.5,43,37.5,54,62.5,39,,,,,,,,,R9,5.5,25.5,133,67,113,64,,,,,,,,,2019
65.5,43,37.5,54,62.5,11,17,10,,,,,,,R10,9.5,75,140,65,137,67,145,63.5,138,62,,,,,2019
65.5,43,37.5,54,62.5,11,,8,,,,,,,R11,12,86,121,63.5,131,64.5,118,66.5,143,67,,,,,2019
65.5,43,37.5,54,62.5,11,,7,,,,,,,R12,7.5,56,131,62,184,67,132,65.5,,,,,,,2019
65.5,43,37.5,54,62.5,4,12,8.4,,,,,,,R13,9,30,103,68.5,122,69,,,,,,,,,2019
65.5,43,37.5,54,62.5,4,,3.5,,,,,,,R14,7,41.5,123,68.5,143,68,,,,,,,,,2019
65.5,43,37.5,54,62.5,34,47,64,17,3,11,7,10,7,R15,7.5,69,141,67.5,122,64.5,,,,,,,,,2019
65.5,43,37.5,47,61,32,20,10,,,,,,,R16,12.5,90,131,62,153,65,143,68,201,68.5,136,65.5,,,2019
65.5,43,37.5,47,61,11,19,9.5,12.5,8,11,6.5,,,R17,6,44,141,65,133,64,163,69,,,,,,,2019
65.5,43,37.5,47,61,11,,,,,,10,,,R18,5,47.5,123,65.5,160,68,139,63,,,,,,,2019
65.5,43,37.5,47,61,11,,0,,,,,,,R19,6,47,120,63.5,151,65,131,64,,,,,,,2019
65.5,43,37.5,47,61,65,35,7,28,9.5,,,,,R20,10,48,152,77.5,140,67.5,161,72,,,,,,,2019
65.5,43,37.5,47,61,65,,,,25,,,,,R21,10,52.5,119,65.5,121,69,118,67.5,,,,,,,2019
