DTronc,LTronc,DChar,LChar,DChar1,LChar1,DChar2,LChar2,DChar3,LChar3,DChar4,LChar4,DChar5,LChar5,NumRam,DRam,LRam,PFr1,PFr2,PFr3,PFr4,PFr5,PFr6,year,variety,Total_Poids
75,34,34.5,190.5,106.3,50,76.1,7.5,,,,,,,R 19,5,27,170,,,,,,2022,2,170
75,34,34.5,188,66.8,0,,,,,,,,,R 11,5.4,24,,,,,,,2022,2,0
64.5,34,32.5,66,55.5,0,35,36,,,,,,,R21,17,17,194,152,148,200,,,2019,2,694
70,55,37,203,71.3,14,31.2,35,,,,,,,R65,5.6,47,156,,,,,,2022,1,156
71,62,35,110,53.03,43,21.66,32,,,,,,,R36,6.03,25,,,,,,,2021,1,0
75,25,32.7,87,65,5,,,,,,,,,R 69,7.7,32.3,140,,,,,,2022,2,140
66,22.5,34,127,40,40.7,,,,,,,,,R 82,7,58,100,170,80,,,,2022,2,350
75,42,35.5,196.5,90,51,63.7,8.5,44.4,55.4,20.4,33.3,,,R34,5.6,29.5,117,70,,,,,2022,1,187
64.5,34,32.5,32,,,,,,,,,,,R44,5,24.5,146,,,,,,2019,2,146
81,21,36,236,83.5,73,55.1,45.3,,,,,,,R131,11,76,90,80,120,120,,,2022,2,410
71.3,32.5,41.6,46,,16.5,20.2,0,,,,,,,R 47,6.8,56.2,130,,,,,,2022,2,130
75,25,32.7,253.8,65.8,0,22.4,4,13,3,,,,,R 91,8.4,91,140,,,,,,2022,2,140
71,33,44.6,27,35.5,166,41,10,,,,,,,R64,7.6,70,152,103,,,,,2021,2,255
71,47,40.5,223,80.97,26,57.43,40,50.3,8,12.95,14,,,R113,5.7,47,134,154,133,,,,2021,1,421
71.5,31,40.3,63,83.5,95.5,74.92,58,,,,,,,R73,6.4,53,121,172,100,,,,2021,2,393
71,54,31,143,64.82,16.3,24.77,2.5,,,,,,,R10,7.19,40.5,134,141,172,,,,2021,1,447
75,23,36.2,282.1,55,52,32.7,17.3,,,,,,,R 42,6.2,40,190,240,,,,,2022,2,430
71.5,45,32,96,,,,,,,,,,,R15,15.15,129.9,141,96,112,134,109,,2021,2,592
60,50,113,34,69,8,39,5,21,8,,,,,R64,10.5,62,169,177,203,,,,2019,1,549
73,41,34,137.4,40.24,24.04,29.33,9.4,,,,,,,R5,6.54,75.7,127,85,69,69,,,2021,1,350
64,51,85,46,48.5,6,,3.5,,,,,,,R82,16.5,83,220,141,195,204,,,2019,1,760
