Tronc,Unnamed: 1,charpant,Unnamed: 3,1er ss charpante,Unnamed: 5,2ème ss charpante,Unnamed: 7,3ème ss charpante,Unnamed: 9,4ème ss charpante,Unnamed: 11,5ème ss charpante,Unnamed: 13,Rameaux,Unnamed: 15,Unnamed: 16,Fruit 1,Unnamed: 18,Fruit 2,Unnamed: 20,Fruit 3,Unnamed: 22,Fruit 4,Unnamed: 24,Fruit 5,Unnamed: 26,Fruit 6,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Numero SS_ch,Niveau,Num_SC_mere,Point_insert,DIAM,long,long + Point_insert
64.5,34,33,62,,,,,,,,,,,R1,20,104,126,62,,,,,,,,,,,1,0,1,34,33,62,96
64.5,34,33,46,,,,,,,,,,,R2,10,59.5,166,66,,,,,,,,,,,2,0,1,96,33,46,142
64.5,34,33,66,,,,,,,,,,,R3,12,107,158,69,178,71.5,58,47,,,,,,,3,0,1,162,33,66,228
64.5,34,33,8.5,,,,,,,,,,,R4,9,70.5,186,73.5,178,72,152,65,,,,,,,4,0,1,228,33,8.5,236.5
64.5,34,33,0,,,,,,,,,,,R5,16,129,162,68,136,63,210,74,218,75,140,63,130,61.5,5,0,1,236.5,33,0,236.5
64.5,34,33,0,66,35,,,,,,,,,R6,7,44,128,61,134,61,142,65,112,60,,,,,6,1,5,236.5,66,35,271.5
64.5,34,33,0,66,0,10,5,,,,,,,R7,6,17,158,67,,,,,,,,,,,7,2,6,271.5,10,5,276.5
64.5,34,33,0,66,46,46,4,,,,,,,R8,9.5,96,112,57,150,66,,,,,,,,,8,2,6,297.5,46,4,301.5
64.5,34,33,0,66,46,46,0,,,,,,,R9,12.5,106,90,51,116,59,186,71,236,80,222,74,,,9,2,6,301.5,46,0,301.5
64.5,34,33,0,66,8,34,20,,,,,,,R10,7,45,170,67,,,,,,,,,,,10,2,6,305.5,34,20,325.5
64.5,34,33,0,66,8,34,14,,,,,,,R11,7.5,22,182,69,,,,,,,,,,,11,2,6,325.5,34,14,339.5
64.5,34,33,0,66,8,34,3,,,,,,,R12,8,34,210,73,200,74,,,,,,,,,12,2,6,339.5,34,3,342.5
64.5,34,33,0,66,8,34,7,13,6,,,,,R13,6,28,148,60.5,126,58,,,,,,,,,13,3,12,349.5,13,6,355.5
64.5,34,33,0,66,8,34,3,12,7,,,,,R14,9.5,43,172,66.5,,,,,,,,,,,14,3,12,359.5,12,7,366.5
64.5,34,32.5,66,55.5,25,,,,,,,,,R15,5,20,168,67,,,,,,,,,,,15,1,15,282.5,55.5,25,307.5
64.5,34,32.5,66,55.5,15,,,,,,,,,R16,9,89.5,104,56.5,202,73,184,70,,,,,,,16,1,15,307.5,55.5,15,322.5
64.5,34,32.5,66,55.5,0,,,,,,,,,R17,19.5,183,108,56.5,158,67,,,,,,,,,17,1,15,322.5,55.5,0,322.5
64.5,34,32.5,66,55.5,26,,,,,,,,,R18,11,115.5,196,70,104,54,112,58,,,,,,,18,1,15,322.5,55.5,26,348.5
64.5,34,32.5,66,55.5,-36,11,2,,,,,,,R19,5,34.5,152,67,,,,,,,,,,,19,2,16,312.5,11,2,314.5
64.5,34,32.5,66,55.5,46,,,,,,,,,R20,11,3,140,63,178,69,,,,,,,,,20,1,15,276.5,55.5,46,322.5
64.5,34,32.5,66,55.5,0,35,36,,,,,,,R21,17,17,194,70,152,69,148,65,200,70,,,,,21,2,21,322.5,35,36,358.5
64.5,34,32.5,66,55.5,0,35,36,17,77,,,,,R22,9,50,174,68,150,64,,,,,,,,,22,3,21,358.5,17,77,435.5
