Tronc,Unnamed: 1,charpant,Unnamed: 3,1er ss charpante,Unnamed: 5,2ème ss charpante,Unnamed: 7,3ème ss charpante,Unnamed: 9,Rameaux,Unnamed: 11,Unnamed: 12,Fruit 1,Unnamed: 14,Fruit 2,Unnamed: 16,Fruit 3,Unnamed: 18,Fruit 4,Unnamed: 20,Fruit 5,Unnamed: 22,Fruit 6,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Numero SS_ch,Niveau,Num_SC_mere,Point_insert,DIAM,long,long + Point_insert
59.5,31,30,83,17.5,13.5,,,,,R1,8,74,114,58.5,178,69,80,50,,,,,,,1,1,1,114,17.5,13.5,127.5
59.5,31,30,83,17.5,3,,,,,R2,7.5,57,174,66,,,,,,,,,,,2,1,1,127.5,17.5,3,130.5
59.5,31,30,83,17.5,21.5,,,,,R3,7,45,106,78,,,,,,,,,,,3,1,1,130.5,17.5,21.5,152
59.5,31,30,83,17.5,7.5,,,,,R4,6.5,56,118,56.5,76,50,,,,,,,,,4,1,1,152,17.5,7.5,159.5
59.5,31,30,83,17.5,8,,,,,R5,5,1.5,,,,,,,,,,,,,5,1,1,159.5,17.5,8,167.5
59.5,31,30,83,17.5,31,,,,,R6,5,1,,,,,,,,,,,,,6,1,1,167.5,17.5,31,198.5
59.5,31,30,83,17.5,4.5,,,,,R7,6,40,96,56,,,,,,,,,,,7,1,1,172,17.5,4.5,176.5
59.5,31,30,13,,,,,,,R8,9,88.5,112,56.5,164,68.5,112,59,,,,,,,8,0,1,114,30,13,127
59.5,31,30,13,,,,,,,R9,10.5,79,114,58,150,64,174,68.5,,,,,,,9,0,1,127,30,13,140
59.5,31,30,55,,,,,,,R10,6,6,178,71,,,,,,,,,,,10,0,1,140,30,55,195
59.5,31,30,0,,,,,,,R11,6.5,53,80,52,116,58,,,,,,,,,11,0,1,195,30,0,195
59.5,31,30,12,11,5,,,,,R12,6,49,138,64,82,48,48,39,,,,,,,12,1,12,207,11,5,212
59.5,31,30,56,13.5,4.5,,,,,R13,8,49,170,68,,,,,,,,,,,13,1,12,212,13.5,4.5,216.5
59.5,31,30,-12,,,,,,,R14,6.5,48.5,80,50,,,,,,,,,,,14,0,1,263,30,-12,251
59.5,31,30,0,,,,,,,R15,8.5,30.5,112,56,120,59.5,134,60,,,,,,,15,0,1,251,30,0,251
