Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,6ème ss charpante,,7 ème ss charpante ,,Rameaux,,,Remarque,Rameaux,Fruit 1,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam, v,N° ram,Diam,Long,,N° ram,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam
64.5,54.5,38,50,26.5,5,,,,,,,,,,,,,R1,16,92,,R1,110,59,108,58.5,113,60,,,,,,,,,,
,,,,,0,15,16,10,10.5,8.5,2,,,,,,,R2,4,25,,R2,120,60,115,59,111,57,,,,,,,,,,
,,,,,,,,,25,5.5,6,,,,,,,R3,4.5,17.5,,R3,125,61,139,61.5,,,,,,,,,,,,
,,,,,,,,,4.5,5.5,7,,,,,,,R4,4.5,34.5,,R4,116,63,118,62,135,63.5,,,,,,,,,,
,,,32,14.5,17,,,,,,,,,,,,,R5,6.5,64,,R5,36,42,28,40,,,,,,,,,,,,
,,,,,6,,,,,,,,,,,,,R6,5,34,,R6,25,39,,,,,,,,,,,,,,
,,,,,4.5,,,,,,,,,,,,,R7,6.5,61,,R7,61,52.5,46,50.5,,,,,,,,,,,,
,,,12.5,24,7.5,14,5.5,,,,,,,,,,,R8,4.5,15,,R8,129,63,133,62.5,,,,,,,,,,,,
,,,,,,,38.5,,,,,,,,,,,R9,7.5,44.5,,R9,118,59.5,136,64,151,64,,,,,,,,,,
,,,,,,,13.5,,,,,,,,,,,R10,6,45,,R10,63,54,67,42,,,,,,,,,,,,
,,,,,,,7,,,,,,,,,,,R11,7,46.5,,R11,155,67,160,64,142,62.5,,,,,,,,,,
,,,11,54.5,6,36,9,24,25,,,,,,,,,R12,8,86,,R12,165,68,170,61,156,65,147,68,,,,,,,,
,,,,,,,,,4,,,,,,,,,R13,7,60,,R13,161,66,133,59.5,139,62,,,,,,,,,,
,,,,,,,,,14,,,,,,,,,R14,6,48,,R14,133,62,159,64,145,62.5,,,,,,,,,,
,,,,,,,,,4,,,,,,,,,R15,11,79,,R15,145,63.5,173,67,156,65.5,171,68,,,,,,,,
,,,,,,,40,9.5,10,,,,,13,20,,,R16,4.5,38.5,,R16,138,64.5,145,63.5,127,62,,,,,,,,,,
,,,,,,,,,3.5,,,,,,,,,R17,6,51,,R17,144,65,171,68,136,64,,,,,,,,,,
,,,,,,,8.5,14,5,,,,,,,,,R18,7,65.5,,R18,129,63,146,65,,,,,,,,,,,,
,,,,,,,,17,7,,,,,,,,,R19,10.5,79,,R19,133,62,148,66,153,68,,,,,,,,,,
,,,38,56.5,69,34,22,20,20,,,,,,,,,R20,5.5,26,,R20,163,65,133,59,,,,,,,,,,,,
