Tronc,Unnamed: 1,charpant,Unnamed: 3,1er ss charpante,Unnamed: 5,2ème ss charpante,Unnamed: 7,3ème ss charpante,Unnamed: 9,4ème ss charpante,Unnamed: 11,Rameaux,Unnamed: 13,Unnamed: 14,Fruit 1,Unnamed: 16,Fruit 2,Unnamed: 18,Fruit 3,Unnamed: 20,Fruit 4,Unnamed: 22,Fruit 5,Unnamed: 24,Fruit 6,Unnamed: 26,Fruit 7,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Numero SS_ch,Niveau,Num_SC_mere,Point_insert,DIAM,long,long + Point_insert
69,34,34,48,,,,,,,,,R1,5,11,160,68.5,,,,,,,,,,,,,1,0,1,34,34,48,82
69,34,34,9,55,22,,,,,,,R2,8,91,150,64,104,56,,,,,,,,,,,2,1,2,91,55,22,113
69,34,34,9,55,25,,,,,,,R3,6,28,,,,,,,,,,,,,,,3,1,2,113,55,25,138
69,34,34,9,55,9.5,,,,,,,R4,8,59.5,120,58,,,,,,,,,,,,,4,1,2,138,55,9.5,147.5
69,34,34,9,55,6.5,,,,,,,R5,10,22,160,68,154,63.5,106,56.5,,,,,,,,,5,1,2,147.5,55,6.5,154
69,34,34,9,55,12,,,,,,,R6,7.5,63,124,60,166,66,,,,,,,,,,,6,1,2,154,55,12,166
69,34,34,9,55,8,,,,,,,R7,13,75,92,50.5,58,47.5,,,,,,,,,,,7,1,2,166,55,8,174
69,34,34,9,55,8,34,10,,,,,R8,13,105,,,,,,,,,,,,,,,8,2,7,174,34,10,184
69,34,34,,,,,,,,,,R9,,,,,,,,,,,,,,,,,9,0,1,34,34,0,34
69,34,34,67,6.5,4.5,,,,,,,R10,5,25,120,60,86,55,,,,,,,,,,,10,1,10,158,6.5,4.5,162.5
69,34,34,44,,,,,,,,,R11,6,26,108,56.5,110,60,,,,,,,,,,,11,0,1,158,34,44,202
69,34,34,44,57,3,32,11,,,,,R12,4.5,32,124,58,,,,,,,,,,,,,12,2,12,161,32,11,172
69,34,34,44,57,3,32,4,,,,,R13,9,89.5,126,59,118,58,98,56,118,56.5,,,,,,,13,2,12,172,32,4,176
69,34,34,44,57,3,32,13,,,,,R14,8.5,85,90,52,144,61,116,59,90,53,98,54,,,,,14,2,12,176,32,13,189
69,34,34,44,,,,,,,,,R15,,,,,,,,,,,,,,,,,15,0,1,158,0,0,158
69,34,34,44,57,72,30,39,,,,,R16,10,61,210,66,188,59,,,,,,,,,,,16,2,12,233,30,39,272
69,34,34,39,,,,,,,,,R17,9,110,142,60,156,70.5,132,69,,,,,,,,,17,0,1,202,34,39,241
69,34,34,11,,,,,,,,,R18,9,72,146,65,,,,,,,,,,,,,18,0,1,241,34,11,252
69,34,34,15,,,,,,,,,R19,9,61,156,66.5,174,66,,,,,,,,,,,19,0,1,252,34,15,267
69,34,34,16,55,37,,,,,,,R20,12,17,128,62,146,69,,,,,,,,,,,20,1,20,283,55,37,320
69,34,34,16,55,2,,,,,,,R21,7,40,132,61,112,57,158,69,162,65.5,,,,,,,21,1,20,320,55,2,322
69,34,34,16,55,17,,,,,,,R22,12,93,204,70.5,130,62,200,71.5,136,56.5,,,,,,,22,1,20,322,55,17,339
69,34,34,13,,,,,,,,,R23,5.5,52,182,67,76,49,,,,,,,,,,,23,0,1,283,34,13,296
69,34,37,85,38,10,,,,,,,R24,5,27,126,62,,,,,,,,,,,,,24,1,24,119,38,10,129
69,34,37,85,38,18,,,,,,,R25,6,45.5,,,,,,,,,,,,,,,25,1,24,129,38,18,147
69,34,37,85,38,8,,,,,,,R26,12.5,77,120,58,110,58,76,48,,,,,,,,,26,1,24,147,38,8,155
69,34,37,85,38,5,,,,,,,R27,5,59,82,48,,,,,,,,,,,,,27,1,24,155,38,5,160
69,34,37,85,38,31,,,,,,,R28,10.5,113.5,132,61.5,102,55,156,65,144,61,,,,,,,28,1,24,160,38,31,191
69,34,37,85,38,31,,,,,,,R29,8,56,130,60.5,,,,,,,,,,,,,29,1,24,191,38,31,222
