Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,6ème ss charpante,,Rameaux,,,Remarque,Rameaux,Fruit 1,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,,N° ram,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam
64,51,117,77,25,13,20,3,12,22,,,,,,,R1,12,53,,R1,114,57,116,55,118,58.5,,,,,,,,,,
,,,,,,,,,6,,,,,,,R2,10.5,49,,R2,195,60,190,62.5,,,,,,,,,,,,
,,,,,34,13,4.5,8,5,,,,,,,R3,4.5,38,,R3,170,56,169,54.5,,,,,,,,,,,,
,,,,,,,,,3.5,,,,,,,R4,4.5,22.5,,R4,118,59,,,,,,,,,,,,,,
,,,,,,,3,,,,,,,,,R5,6,55,,R5,159,67,150,67.5,152,69,,,,,,,,,,
,,,,,44,,,,,,,,,,,R6,7.5,40,,R6,158,65,196,71,,,,,,,,,,,,
,,,,,5,8,12,,,,,,,,,R7,6.5,39,,R7,119,59,188,61,125,63,,,,,,,,,,
,,,,42,4,,,,,,,,,,,R8,10,67,,R8,118,58,120,59.5,135,60,,,,,,,,,,
,,,,,4,12,10,,,,,,,,,R9,7,56,,R9,117,59.5,116,58,118,59,,,,,,,,,,
,,,,,,,13,,,,,,,,,R10,10,77,,R10,128,60,119,59,130,62.5,,,,,,,,,,
,,,,,60,24,5.5,11.5,11,,,,,,,R11,3.5,1,,R11,135,60.5,,,,,=,,,,,,,,,
,,,,,,,,,5.5,,,,,,,R12,9,64,,R12,120,59.5,116,58.5,127,60,,,,,,,,,,
,,,,,,,,,11,,,,,,,R13,4.5,22,,R13,136,63,160,66,,,,,,,,,,,,
,,,,,,,3.5,12.5,8,,,,,,,R14,7,40,,R14,106,60,122,60.5,,,,,,,,,,,,
,,,,,,,,,4,,,,,,,R15,7,49,,R15,115,58,118,59,128,60.5,,,,,,,,,,
,,,,,,,,,14,,,,,,,R16,8.5,26,,R16,167,68.5,,,,,,,,,,,,,,
,,,,,,,,,5,,,,,,,R17,5,30,,R17,120,59.5,140,63,,,,,,,,,,,,
,,,,67,24,12,10,,,,,,,,,R18,10,38,,R18,116,58,111,59,118,60,,,,,,,,,,
,,,,,,,9,,,,,,,,,R19,9.5,73,,R19,139,62,169,65.5,108,58,,,,,,,,,,
,,,,,14,61,12,12,13,,,,,,,R20,10.5,57,,R20,186,72,185,69.5,189,66,,,,,,,,,,
,,,,,,,19,,,,,,,,,R21,12,89,,R21,152,66.5,168,68,158,63.5,190,66.5,,,,,,,,
,,,,,,,25,25,8,,,,,,,R22,9,10,,R22,130,60,,,,,,,,,,,,,,
,,,,,,,,,8,,,,,,,R23,10,9,,R23,163,65.5,,,,,,,,,,,,,,
