Tronc,Unnamed: 1,charpant,Unnamed: 3,1er ss charpante,Unnamed: 5,2ème ss charpante,Unnamed: 7,3ème ss charpante,Unnamed: 9,4ème ss charpante,Unnamed: 11,Rameaux,Unnamed: 13,Unnamed: 14,Fruit 1,Unnamed: 16,Fruit 2,Unnamed: 18,Fruit 3,Unnamed: 20,Fruit 4,Unnamed: 22,Fruit 5,Unnamed: 24,Fruit 6,Unnamed: 26,Fruit 7,Unnamed: 28,Fruit 8,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Numero SS_ch,Niveau,Num_SC_mere,Point_insert,DIAM,long,long + Point_insert
55.5,51,27.3,57,,,,,,,,,R1,6.75,52,110,60,,,,,,,,,,,,,,,1,0,1,51,27.3,57,108
55.5,51,27.3,57,,,,,,,,,R2,6.28,61.5,,,,,,,,,,,,,,,,,2,0,1,108,27.3,57,165
55.5,51,27.3,57,46.92,35,,,,,,,R3,7.63,44,174,68,84,51,,,,,,,,,,,,,3,1,3,108,46.92,35,143
55.5,51,27.3,57,46.92,22,18.65,1.5,,,,,R4,7.03,74.5,128,62,56,45,98,55,,,,,,,,,,,4,2,4,165,18.65,1.5,166.5
55.5,51,27.3,57,46.92,22,13.19,14.5,,,,,R5,6.96,31.5,118,60,86,54,,,,,,,,,,,,,5,2,4,166.5,13.19,14.5,181
55.5,51,27.3,57,46.92,22,,,,,,,R6,7.7,55,168,68,,,,,,,,,,,,,,,6,1,3,108,46.92,22,130
55.5,51,27.3,57,46.92,0,,,,,,,R7,10.44,87,112,63,118,56,,,,,,,,,,,,,7,1,3,130,46.92,0,130
55.5,51,27.3,57,46.92,14,,,,,,,R8,9.4,180,130,60.5,162,66.5,242,78,214,77.5,130,60.5,,,,,,,8,1,3,130,46.92,14,144
55.5,51,27.3,57,46.92,14,,,,,,,R9,,,,,,,,,,,,,,,,,,,9,1,3,144,46.92,14,158
55.5,51,27.3,57,46.92,14,,,,,,,R10,10.69,105,142,64,170,60,172,63,238,72,150,60.5,148,60.5,,,,,10,1,3,158,46.92,14,172
55.5,51,27.3,57,46.92,17,17.3,27.5,8.89,25.5,,,R11,6.75,61,260,79,128,62,156,65,130,59,,,,,,,,,11,3,11,202.5,8.89,25.5,228
