Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,                  6ème ss charpante,,Rameaux,,,Rameaux,Fruit 1,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,N° ram,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam
60,50,113.5,80,21,18.5,11,16,7,10,,,,,,,R1,5,42,R1,113,62,108,58.5,110,59,,,,,,,,,,
,,,,21.5,8,11,6.5,7,10,,,,,,,R2,5,35,R2,140,64,159,62.5,109,59,,,,,,,,,,
,,,,,,,,,6,,,,,,,R3,5,18,R3,120,60,125,60.5,,,,,,,,,,,,
,,,,,,,3.5,,,,,,,,,R4,6,36,R4,152,65,136,61.5,149,63,,,,,,,,,,
,,,,9,6,2,,,,,,,,,,R5,7.5,4,R5,144,63.5,,,,,,,,,,,,,,
,,,,54,60,5,16,9,,,,,,,,R6,13.5,99,R6,173,65,168,67,166,65.5,120,59,,,,,,,,
,,,,,,19,15,1.5,,,,,,,,R7,10,53,R7,155,61,161,64,170,68.5,,,,,,,,,,
,,,,,,,,,18,30,14,,,,,R8,6,50,R8,151,62,109,59,120,59,,,,,,,,,,
,,,,,,,,,,,5.5,,,,,R9,10,76,R9,180,65.5,197,66,161,65,,,,,,,,,,
,,,,,,,,,,,14,,,,,R10,13,99,R10,173,66,215,70,224,65,204,70,,,,,,,,
,,,,,,,,,,,13,,,,,R11,14.5,89,R11,163,68.5,205,69,193,65,178,69,,,,,,,,
,,,,,,,,,,,4,,,,,R12,13,56,R12,117,62,160,64,157,64,,,,,,,,,,
,,,,,,,,,12,16.5,4,,,,,R13,8.5,69,R13,144,65,173,68,188,65,,,,,,,,,,
,,,,,,,,,32,25,34,10,2.5,,,R14,6.5,58,R14,186,67,130,62.5,160,64,,,,,,,,,,
,,,,,,,,,,,9.5,,,,,R15,7.5,60,R15,202,66.5,192,66,177,64,,,,,,,,,,
,,,,,,,,,,,5,18.5,6.5,,,R16,7.5,57,R16,178,75,209,67,173,63.5,,,,,,,,,,
,,,,,,,,,,,15,17.5,5,,,R17,9,49,R17,168,69,219,71.5,184,63,,,,,,,,,,
,,,,,,,,,,,,,7,,,R18,13.5,87.5,R18,229,69,147,66,193,73,203,73.5,,,,,,,,
,,,38,38,4,,,,,,,,,,,R19,12,108.5,R19,194,68,139,69,116,59,200,71,195,69.5,,,,,,
,,,,,3,26,4,23,25,,,,,,,R20,7,46,R20,115,60,129,61,145,65,,,,,,,,,,
,,,,,,,,,10,,,,,,,R21,8.5,75,R21,201,67,192,67.5,173,63.5,166,64,,,,,,,,
,,,,,,,,,4,,,,,,,R22,7,61,R22,164,65,162,64,168,65,147,54,,,,,,,,
,,,,,,,,,12,,,,,,,R23,8.5,1,R23,111,57,,,,,,,,,,,,,,
,,,,,,,,,20.5,,,,,,,R24,7,28,R24,176,63.5,149,65,,,,,,,,,,,,
,,,,,,,,,5,,,,,,,R25,6.5,65.5,R25,173,65,182,60,188,60.5,,,,,,,,,,
,,,,,2,36,7,18,6,,,,,,,R26,9,52,R26,161,66.5,134,60,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,R27,8,55,R27,201,68.5,189,65,,,,,,,,,,,,
,,,,,,,,,5,,,,,,,R28,6.5,34,R28,145,62.5,168,67,139,62,,,,,,,,,,
,,,,,,,,,5.5,,,,,,,R29,8,48,R29,159,64,165,64,162,63.5,,,,,,,,,,
,,,,,,,,,12,,,,,,,R30,11,95,R30,173,67,156,65.5,171,68,181,66,,,,,,,,
,,,,,,,1.5,17.5,19.5,,,,,,,R31,7,26,R31,136,65,146,63,159,64,143,63.5,,,,,,,,
,,,,,,,,,4.5,,,,,,,R32,10,55,R32,184,69,149,63,196,67,,,,,,,,,,
,,,,,,,,,7.5,,,,,,,R33,8,33,R33,176,63,180,65.5,177,64,,,,,,,,,,
,,113,118,70.5,4,15,3,10.5,6.5,,,,,,,R34,11,71,R34,201,66.5,187,67,175,65,178,69,,,,,,,,
,,,,,3,,,,,,,,,,,R35,8.5,88,R35,178,65,192,67.5,207,70.5,173,63.5,,,,,,,,
,,,6,76,8,53,5,19,6,,,,,,,R36,5.5,88,R36,207,72,169,66.5,171,68,200,74,,,,,,,,
,,,,,,,8,,,,,,,,,R37,4.5,25,R37,196,71,181,69,173,66,154,64.5,,,,,,,,
,,,,,,,5,20.5,15,,,,,,,R38,10,67,R38,150,64,136,61.5,166,66.5,,,,,,,,,,
,,,,,,,,,21,,,,,,,R39,12,127,R39,123,59,150,61,173,67,,,,,,,,,,
,,,,,,,,,7,,,,,,,R40,15,87,R40,149,62,179,67,161,65,210,71,,,,,,,,
,,,,,,,,,6,,,,,,,R41,8,68,R41,118,61,164,63,142,64,123,64.5,,,,,,,,
,,,,,,,,,25,,,,,,,R42,10,65,R42,143,62,172,66,158,64,,,,,,,,,,
,,,,,,,47,35.5,40,,,,,,,R43,11,69,R43,166,64,179,69.5,214,72.5,,,,,,,,,,
,,,,,,,,,32,12.5,17,,,,,R44,9.5,53,R44,230,73,144,63.5,123,61,,,,,,,,,,
,,,,,,,,,,,12,,,,,R45,12,45.5,R45,130,62,175,68,147,63,,,,,,,,,,
,,,,,,,,,7.5,19,7,,,,,R46,12,76,R46,175,71,176,67,220,64,262,71,195,70,,,,,,
,,,,,,,9,25,16.5,,,,,,,R47,4.5,20,R47,220,73.5,141,63,197,70,204,78.5,199,68.5,181,66,,,,
,,,,,,,,,15,,,,,,,R48,9,64,R48,157,60,140,60,138,64,,,,,,,,,,
,,,,,,,,,5.5,,,,,,,R49,11.5,106,R49,206,74,164,65,197,70,,,,,,,,,,
,,,,,,,,,5,,,,,,,R50,7.5,31,R50,194,66,156,59,189,69,,,,,,,,,,
,,,,,,,,,30,,,,,,,R51,11,55,R51,187,67,273,68,197,67,189,65.5,,,,,,,,
,,,,,,,28,,,,,,,,,R52,13,101,R52,181,67,145,62,206,67,,,,,,,,,,
,,,,,,,10,,,,,,,,,R53,12,87,R53,188,64,209,64,192,71,,,,,,,,,,
,,,,,,,3,,,,,,,,,R54,10.5,68,R54,175,66.5,186,64,195,66,,,,,,,,,,
,,,,,,,16.5,,,,,,,,,R55,19,80,R55,137,60,177,62,164,65,182,63,,,,,,,,
,,,,,,,22,25,6,,,,,,,R56,20,124,R56,198,71,264,68,182,66.5,,,,,,,,,,
,,,,,,,2.5,21,8,,,,,,,R57,18.5,63,R57,146,64,168,67,139,62,205,68,276,72,,,,,,
,,,8.5,18,19.5,,,,,,,,,,,R58,10,49,R58,136,61.5,146,62,151,64,,,,,,,,,,
