Unnamed: 0,Tronc,Unnamed: 2,charpant,Unnamed: 4,1er ss charpante,Unnamed: 6,2ème ss charpante,Unnamed: 8,3ème ss charpante,Unnamed: 10,4ème ss charpante,Unnamed: 12,Rameaux,Unnamed: 14,Unnamed: 15,Fruit 1,Unnamed: 17,Fruit 2,Unnamed: 19,Fruit 3,Unnamed: 21,Fruit 4,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 1,Unnamed: 3,Unnamed: 5,Unnamed: 7,Unnamed: 9,Unnamed: 11,5ème ss charpante,Unnamed: 13,Unnamed: 16,Unnamed: 18,Unnamed: 20,Unnamed: 22,Fruit 5,Fruit 6,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Fruit 7,Fruit 8,Unnamed: 36,Unnamed: 37
,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Numero SS_ch,Niveau,Num_SC_mere,Point_insert,DIAM,long,long + Point_insert,,,,,,,,,,,,,,,,,,,,,,,
A1-1,66.5,40,39,40,53.75,1,,,,,,,R1,6.14,50,112,56,,,,,,,1,1,0,80,53.75,1,81,,,,,,,,,,,,,,,,,,,,,,,
A1-2,66.5,40,39,40,53.75,1,6.14,4,,,,,R2,5.21,51,,,,,,,,,2,2,1,81,6.14,4,85,,,,,,,,,,,,,,,,,,,,,,,
A1-3,66.5,40,39,58,14.2,7.3,,,,,,,R3,7.1,1.6,72,47.5,,,,,,,3,1,0,138,14.2,7.3,145.3,,,,,,,,,,,,,,,,,,,,,,,
A1-4,66.5,40,39,17,62.2,10,,,,,,,R4,9.05,59,,,,,,,,,4,1,0,155,62.2,10,165,,,,,,,,,,,,,,,,,,,,,,,
A1-5,66.5,40,39,17,62.2,35,20.86,1,,,,,R5,7.48,59,200,71,,,,,,,5,2,4,200,20.86,1,201,,,,,,,,,,,,,,,,,,,,,,,
A1-6,66.5,40,39,17,62.2,14,14.55,6,,,,,R6,4.6,32,174,67,,,,,,,6,2,4,201,14.55,6,207,,,,,,,,,,,,,,,,,,,,,,,
A1-7,66.5,40,39,17,62.2,14,14.55,7,,,,,R7,5.71,49,156,65,116,56,48,44,,,7,2,4,207,14.55,7,214,,,,,,,,,,,,,,,,,,,,,,,
A1-8,66.5,40,39,17,62.2,-6.5,13.33,2,,,,,R8,8.2,49,130,60.5,,,,,,,8,2,4,214,13.33,2,216,,,,,,,,,,,,,,,,,,,,,,,
A1-9,66.5,40,39,17,62.2,-6.5,13.33,6,,,,,R9,5.32,47,104,53.5,,,,,,,9,2,4,220,13.33,6,226,,,,,,,,,,,,,,,,,,,,,,,
A1-10,66.5,40,39,17,62.2,14,,,,,,,R10,7.42,65,68,45,46,40,42,38,54,46,10,1,0,155,62.2,14,169,,,,,,,,,,,,,,,,,,,,,,,
A1-11,66.5,40,39,17,62.2,22,,,,,,,R11,8.06,68,148,62,,,,,,,11,1,0,155,62.2,22,177,,,,,,,,,,,,,,,,,,,,,,,
A1-12,66.5,40,39,17,62.2,6,14.21,8,,,,,R12,7.85,86,138,60,76,49.5,80,48,58,47,12,2,4,257,14.21,8,265,,,,,,,,,,,,,,,,,,,,,,,
A1-13,66.5,40,39,17,62.2,23,,,,,,,R13,13.51,79,198,71,180,69,,,,,13,1,0,155,62.2,23,178,,,,,,,,,,,,,,,,,,,,,,,
A1-14,66.5,40,39,17,62.2,10,36.6,3,13.92,9,,,R14,9.5,94,156,62,120,57,,,,,14,3,5,293,13.92,9,302,,,,,,,,,,,,,,,,,,,,,,,
A1-15,66.5,40,39,17,62.2,10,36.6,3,13.92,4,,,R15,9.53,66,158,66,174,51,,,,,15,3,5,302,13.92,4,306,,,,,,,,,,,,,,,,,,,,,,,
A1-16,66.5,40,39,17,62.2,-10,,,,,,,R16,6.93,45,176,64.5,158,63.5,,,,,16,1,0,155,62.2,-10,145,,,,,,,,,,,,,,,,,,,,,,,
A1-17,66.5,40,39,17,62.2,-15,,,,,,,R17,6.5,24,118,64,88,65,,,,,17,1,0,155,62.2,-15,140,,,,,,,,,,,,,,,,,,,,,,,
A1-18,66.5,40,39,17,62.2,23,26,4,,,,,R18,4.76,27,162,65.5,,,,,,,18,2,4,275,26,4,279,,,,,,,,,,,,,,,,,,,,,,,
A1-19,66.5,40,39,17,62.2,23,26,23,14.24,3.5,,,R19,11.95,108,146,66,164,68,116,64.5,,,19,3,5,302,14.24,3.5,305.5,,,,,,,,,,,,,,,,,,,,,,,
A1-20,66.5,40,39,17,62.2,23,26,0,16.06,42,14.54,8,R20,10.8,95,238,77,,,,,,,20,4,14,347.5,14.54,8,355.5,,,,,,,,,,,,,,,,,,,,,,,
A1-21,66.5,40,39,17,62.2,23,26,0,16.06,42,14.54,6,R21,8.18,60,166,55,,,,,,,21,4,14,355.5,14.54,6,361.5,,,,,,,,,,,,,,,,,,,,,,,
A1-22,66.5,40,39,0,,,,,,,,,R22,4.58,32,110,61.5,,,,,,,22,0,0,155,39,0,155,,,,,,,,,,,,,,,,,,,,,,,
A1-23,66.5,40,39,59,,,,,,,,,R23,6.32,31,154,66,,,,,,,23,0,0,214,39,59,273,,,,,,,,,,,,,,,,,,,,,,,
A1-24,66.5,40,39,13,,,,,,,,,R24,7.12,58,,,,,,,,,24,0,0,227,39,13,240,,,,,,,,,,,,,,,,,,,,,,,
A1-25,66.5,40,39,0,13.02,1,13.62,19,,,,,R25,6.96,75,146,63,106,58,92,58,,,25,2,25,228,13.62,19,247,,,,,,,,,,,,,,,,,,,,,,,
A1-26,66.5,40,39,8,13.02,0,,,,,,,R26,10.89,123,184,69,186,66,,,,,26,1,0,235,13.02,0,235,,,,,,,,,,,,,,,,,,,,,,,
A1-27,66.5,40,39,32,60,36,43,23,,,,,R27,8.9,92,172,69,,,,,,,27,2,27,271,43,23,294,,,,,,,,,,,,,,,,,,,,,,,
A1-28,66.5,40,39,9,54.07,28.5,,,,,,,R94,6.74,76.5,,,,,,,,,28,1,1,276,54.07,28.5,304.5,,,,,,,,,,,,,,,,,,,,,,,
A1-29,66.5,40,39,32,60,36,43,12,,,,,R28,9.48,93,200,73.5,,,,,,,29,2,27,335,43,12,347,,,,,,,,,,,,,,,,,,,,,,,
A1-30,66.5,40,39,32,60,8,51,27,,,,,R29,10.16,118,222,75,200,74.5,224,75,,,30,2,27,347,51,27,374,,,,,,,,,,,,,,,,,,,,,,,
A1-31,66.5,40,39,32,60,-3,,,,,,,R30,8.55,105,174,68,140,60,,,,,31,1,1,271,60,-3,268,,,,,,,,,,,,,,,,,,,,,,,
A1-32,66.5,40,39,32,60,3,51,40,,,,,R31,8.66,101,164,68,172,69.5,172,70,,,32,2,27,271,51,40,311,,,,,,,,,,,,,,,,,,,,,,,
A1-33,66.5,40,90,54,12.94,12,,,,,,,R32,10.01,102,106,57,,,,,,,33,1,33,94,12.94,12,106,,,,,,,,,,,,,,,,,,,,,,,
A1-34,66.5,40,90,54,12.94,3,,,,,,,R33,5.96,53,128,58,118,57,,,,,34,1,33,94,12.94,3,97,,,,,,,,,,,,,,,,,,,,,,,
A1-35,66.5,40,90,29,9.77,30,,,,,,,R34,4.83,39,118,55,,,,,,,35,1,35,123,9.77,30,153,,,,,,,,,,,,,,,,,,,,,,,
A1-36,66.5,40,90,34,20,16,,,,,,,R35,7.12,93,122,58,122,58,,,,,36,1,35,157,20,16,173,,,,,,,,,,,,,,,,,,,,,,,
A1-37,66.5,40,90,34,40,13,,,,,,,R36,16.15,60,152,61,92,54,,,,,37,1,37,173,40,13,186,,,,,,,,,,,,,,,,,,,,,,,
A1-38,66.5,40,90,34,40,10,13.44,29,,,,,R37,4.01,27,176,69.5,,,,,,,38,2,38,196,13.44,29,225,,,,,,,,,,,,,,,,,,,,,,,
A1-39,66.5,40,90,34,40,10,13.44,13,,,,,R38,5.48,29,,,,,,,,,39,2,38,225,13.44,13,238,,,,,,,,,,,,,,,,,,,,,,,
A1-40,66.5,40,90,34,40,56,12.72,1,,,,,R39,7.2,54,,,,,,,,,40,2,38,226,12.72,1,227,,,,,,,,,,,,,,,,,,,,,,,
A1-41,66.5,40,90,34,40,3,,,,,,,R40,17.77,180,254,78,226,76,182,70,,,41,1,37,157,40,3,160,,,,,,,,,,,,,,,,,,,,,,,
A1-42,66.5,40,90,40,76,43,8.62,15,,,,,R41,11.42,125,152,68,138,61,,,,,42,2,42,240,8.62,15,255,,,,,,,,,,,,,,,,,,,,,,,
A1-43,66.5,40,90,110,14.86,3,,,,,,,R42,7.99,70.5,172,68,,,,,,,43,1,43,307,14.86,3,310,,,,,,,,,,,,,,,,,,,,,,,
