Tronc,Unnamed: 1,charpant,Unnamed: 3,1er ss charpante,Unnamed: 5,2ème ss charpante,Unnamed: 7,3ème ss charpante,Unnamed: 9,4ème ss charpante,Unnamed: 11,5ème ss charpante,Unnamed: 13,Rameaux,Unnamed: 15,Unnamed: 16,Remarque,Rameaux.1,Fruit 1,Unnamed: 20,Fruit 2,Unnamed: 22,Fruit 3,Unnamed: 24,Fruit 4,Unnamed: 26,Fruit 5,Unnamed: 28,Fruit 6,Unnamed: 30,Fruit 7,Unnamed: 32,Fruit 8,Unnamed: 34,6ème ss charpante,7 ème ss charpante ,Unnamed: 17,Unnamed: 19,Unnamed: 36,Unnamed: 38,Unnamed: 18,                  6ème ss charpante,Unnamed: 21,Unnamed: 23,Unnamed: 25,Unnamed: 27,Unnamed: 29,Unnamed: 31,Unnamed: 33,Unnamed: 35
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,,N° ram,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,,,,,,,,,,,,,,,,
65.5,43,37.5,54,62.5,39,48,4,13.5,12,,,,,R1,6,48.5,,R1,119,63.5,151,62.5,136,64.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,15,2.5,,,R2,9,68,,R2,129,64,136,67,140,67.5,147,65,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,48,19,23,7,3.5,,,R3,5,19,,R3,135,60,112,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,5.5,8.5,4,,,R4,6,49,,R4,192,70,116,66.5,119,64,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,28,14.5,4.5,,,R5,10,44.5,,R5,119,67.5,127,65,139,67,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,4,,,R6,9,73,,R6,163,65,161,67,162,65,160,69,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,58.5,,,,,,,,,R7,9,72.5,,R7,123,60,131,63.5,144,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,13,,,,,,,,,R8,11,71,,R8,153,62,123,64,162,69,171,67,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,39,,,,,,,,,R9,5.5,25.5,,R9,133,67,113,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
