Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Varieté SPRING BRIGHT : Arbre10/ligne7,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,Rameaux,,,Fruit 1 ,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,,Fruit 9,,Fruit 10,,Fruit 11,,,,Chiffons ,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Nbre_fruit,RDT,Poids ,diamètre 
69.5,49,35.4,32,39.46,6.5,24.81,5,18.09,3,,,,,R1,11.2,10.5,122,60.63,128,62.27,,,113,59.43,93,53.69,132,60.83,92,51.86,,,,,,,,,6,680,114,59.67
69.5,49,35.4,32,39.46,6.5,24.81,5,18.09,10,7.6,10,,,R2,5.75,39.5,118,59.34,82,51.77,93,55.68,,,,,,,,,,,,,,,,,3,293,241,73.97
69.5,49,35.4,32,39.46,6.5,24.81,5,18.09,26,,,,,R3,7.22,42,92,54.81,90,54.77,96,55.52,,,,,,,,,,,,,,,,,3,278,183,69.31
69.5,49,35.4,32,39.46,6.5,24.81,5,18.09,29,,,,,R4,6.34,30,119,59.68,100,55.91,123,59.51,,,,,,,,,,,,,,,,,3,342,175,68.45
69.5,49,35.4,32,39.46,6.5,24.81,31,15.9,2.8,,,,,R5,6,29,139,63.15,115,67.19,85,54.44,,,,,,,,,,,,,,,,,3,339,210,70.74
69.5,49,35.4,32,39.46,6.5,24.81,31,15.9,13.8,10.69,22.5,,,R6,5.5,33,161,67.02,129,61.11,116,59.37,,,,,,,,,,,,,,,,,3,406,126,62.08
69.5,49,35.4,32,39.46,6.5,24.81,31,15.9,16.1,,,,,R7,5.3,34,99,56.53,90,53.2,138,65.38,,,,,,,,,,,,,,,,,3,327,155,66.3
69.5,49,35.4,127,34.6,8,25.26,8,22.3,1.1,16.8,1.9,,,R8,7.1,61.3,113,57.76,126,60.75,101,54.4,95,54.68,119,58.79,,,,,,,,,,,,,5,554,202,72.21
69.5,49,35.4,127,34.6,8,25.26,8,22.3,1.1,16.8,20.9,,,R9,5.9,30,117,58.94,101,56.27,118,59.75,,,,,,,,,,,,,,,,,3,336,193,73.51
69.5,49,35.4,127,34.6,8,25.26,8,22.3,1.1,16.8,45.4,,,R10,4.7,29,105,57.15,120,60.63,97,55.07,,,,,,,,,,,,,,,,,3,322,168,67.37
69.5,49,35.4,127,34.6,8,25.26,8,22.3,1.1,16.8,61.4,,,R11,7.7,31,90,58.25,93,54.56,88,52.85,,,,,,,,,,,,,,,,,3,271,149,65.27
69.5,49,35.4,127,34.6,8,25.26,8,22.3,4.1,14.17,16,7.28,2,R12,4.89,22,,,,,,,,,,,,,,,,,,,,,,,0,0,180,70.42
69.5,49,35.4,127,34.6,8,25.26,8,22.3,4.1,14.17,43,7.2,3,R13,4.5,27,104,57.46,96,55.29,104,57.3,,,,,,,,,,,,,,,,,3,304,110,57.34
69.5,49,35.4,127,34.6,8,25.26,8,22.3,4.1,14.17,43,7.2,3,R14,6.5,40,132,60.09,127,59.86,95,56.13,,,,,,,,,,,,,,,,,3,354,160,69.28
69.5,49,35.4,171,52.9,9,39.24,9,,,,,,,R15,8.24,69,141,63.76,138,59.66,138,62.82,137,62.05,136,61.13,120,59.35,,,,,,,,,,,6,810,133,66.09
69.5,49,35.4,171,52.9,9,39.24,28.5,,,,,,,R16,8.5,44,141,62.29,145,69.69,132,63.16,125,62.18,,,,,,,,,,,,,,,4,543,248,79.02
69.5,49,35.4,171,52.9,9,39.24,75.7,25.39,15,,,,,R17,6.83,30,139,62.43,132,61.62,111,57.34,,,,,,,,,,,,,,,,,3,382,153,65.7
69.5,49,35.4,171,52.9,9,39.24,75.7,25.39,29,,,,,R18,9.78,49,96,59.24,188,70.51,167,66.69,,,,,,,,,,,,,,,,,3,451,,
69.5,49,35.4,171,52.9,9,39.24,75.7,25.39,50,15.8,28,,,R19,10.12,69,170,66.68,154,63.34,212,71.23,,,,,,,,,,,,,,,,,3,536,,
69.5,49,35.4,171,52.9,9,39.24,75.7,25.39,50,15.8,31,,,R20,7.9,48,172,67.85,182,67.16,,,,,,,,,,,,,,,,,,,2,354,,
69.5,49,35.4,171,52.9,48,25.9,22,23.3,0,8.8,13,,,R21,6.1,35,,,175,73.09,,,,,,,,,,,,,,,,,,,1,175,,
