Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Varieté SPRING BRIGHT : Arbre12/ligne8 ,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,Rameaux,,,Fruit 1 ,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,,Fruit 9,,Fruit 10,,Fruit 11,,,,Chiffons ,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Nbre_fruit,RDT,Poids ,diamètre 
71,50,36.5,113,57.4,6,32.5,8,25.6,9,19.4,6,15,10,R1,10,117,128,65.58,172,68.58,146,63.12,142,62.49,179,69.13,128,61.56,102,55.62,,,,,,,,,7,997,45,40.71
71,50,36.5,113,57.4,6,32.5,8,25.6,9,19.4,6,15,13,R2,8.26,75,87,52.8,120,59.57,147,63.25,98,55.51,115,57.92,107,57.19,,,,,,,,,,,6,674,,
71,50,36.5,208,60,10,16.72,38,,,,,,,R3,4.8,35,186,70.35,,,,,,,,,,,,,,,,,,,,,1,186,,
71,50,36.5,208,60,10,16.72,49,,,,,,,R4,6.2,43,135,61.62,,,,,,,,,,,,,,,,,,,,,1,135,,
71,50,36.5,208,60,28,61.48,29,18.7,2,,,,,R5,8.5,68,110,57.72,94,55.36,150,65.6,171,68.55,132,62.07,,,,,,,,,,,,,5,657,,
71,50,36.5,208,60,28,61.48,29,18.7,4,,,,,R6,6,48,130,61.53,113,58.91,110,57.94,103,56.6,,,,,,,,,,,,,,,4,456,,
71,50,36.5,208,60,28,61.48,29,18.7,14,,,,,R7,7.7,47.7,105,57.13,149,64.81,129,61.38,83,52.37,73,50.13,,,,,,,,,,,,,5,539,,
71,50,36.5,208,60,28,61.48,57,,,,,,,R8,8.17,68,145,62.57,30,34.88,38,38.9,,,,,,,,,,,,,,,,,3,213,,
71,50,36.5,208,60,28,61.48,61,23.8,10,,,,,R9,8.7,67,66,48.3,152,66.62,129,62.11,90,53.43,,,,,,,,,,,,,,,4,437,,
71,50,36.5,208,60,28,61.48,75,29.8,8,15.7,17.5,,,R10,8,42,97,56.89,,,,,,,,,,,,,,,,,,,,,1,97,,
71,50,36.5,208,60,28,61.48,89,29.8,11.5,19.9,15,,,R11,8.8,50,168,70.17,131,63.69,170,69.19,,,,,,,,,,,,,,,,,3,469,,
71,50,36.5,208,60,28,61.48,89,29.8,11.5,19.9,21,,,R12,6.6,14.5,200,74.45,212,74.65,,,,,,,,,,,,,,,,,,,2,412,,
71,50,36.5,208,80.9,30,35.7,5,28.9,1,,,,,R13,5.7,40,80,51.2,98,56.06,,,,,,,,,,,,,,,,,,,2,178,,
71,50,36.5,208,80.9,41,34.3,8,,,,,,,R14,4.9,19,,,,,,,,,,,,,,,,,,,,,,,0,0,,
71,50,36.5,208,80.9,41,34.3,14.5,,,,,,,R15,7.4,72,119,60.41,167,69.01,161,67.64,181,69.76,206,75.09,,,,,,,,,,,,,5,834,,
71,50,36.5,208,80.9,48,44.4,25,30.8,2.5,,,,,R16,8,70,130,61.45,168,68.02,204,71.84,160,66.9,,,,,,,,,,,,,,,4,662,,
71,50,36.5,208,80.9,48,44.4,29,21.7,27,,,,,R17,6.7,35,164,68.42,59,48.54,,,,,,,,,,,,,,,,,,,2,223,,
71,50,36.5,208,80.9,48,44.4,39,30.7,6,,,,,R18,10.13,73,142,63.91,138,63.45,178,69.2,155,66.62,,,,,,,,,,,,,,,4,613,,
71,50,36.5,208,80.9,48,44.4,39,30.7,17,,,,,R19,9,54,137,64.69,196,72.66,,,,,,,,,,,,,,,,,,,2,333,,
71,55,37,53,47.8,9,,,,,,,,,R20,12.74,158,135,63.16,121,59.77,100,55.1,45,40.3,,,,,,,,,,,,,,,4,401,193,76.93
71,55,37,70,37.3,4,4.88,7,,,,,,,R21,4.3,17.8,,,,,,,,,,,,,,,,,,,,,,,0,0,138,65.15
71,55,37,70,37.3,17,9,4,7.17,2,,,,,R22,3.4,3,,,,,,,,,,,,,,,,,,,,,,,0,0,175,68.22
71,55,37,70,50,20,27,3,10.24,1,,,,,R23,5.46,53,81,50.45,67,48.78,67,47.3,,,,,,,,,,,,,,,,,3,215,212,74.04
71,55,37,70,50,20,27,3,10.24,2.5,,,,,R24,6.61,26,170,68.4,90,52.65,102,56.73,,,,,,,,,,,,,,,,,3,362,200,72.34
