Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Varieté SPRING BRIGHT : Arbre 15/ligne 8 ,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,Rameaux,,,Fruit 1 ,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,,Fruit 9,,Fruit 10,,Fruit 11,,,,Chiffons ,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Nbre de fruit ,RDT,Poids ,diamètre 
71,48,37,86,32.2,14,21.8,2,16.7,11.5,13.7,8,,,R1,8.45,100,71,49.38,60,48.59,103,58.22,114,59.77,82,52.02,98,55.57,,,,,,,,,,,6,528,153,66.09
71,48,37,86,32.2,14,21.8,2,16.7,11.5,13.7,13.2,,,R2,7.45,73,95,55.03,94,55.18,90,51.94,101,53.55,94,54.77,,,,,,,,,,,,,5,474,135,61.69
71,48,37,86,32.2,20,21.6,49,13.79,19,9.31,1.9,,,R3,5.39,49.3,63,46.22,65,47.36,,,,,,,,,,,,,,,,,,,2,128,168,68.94
71,48,37,86,32.2,20,21.6,49,13.79,24.2,9.8,11,11.2,7,R4,5.65,30,49,42.67,,,,,,,,,,,,,,,,,,,,,1,49,162,66.09
71,48,37,86,32.2,20,21.6,49,13.79,24.2,9.8,11,11.2,9.5,R5,4.75,31,68,48.29,49,45.56,775,50.17,,,,,,,,,,,,,,,,,3,892,154,65.62
71,48,37,86,42.19,7,,,,,,,,,R6,6.68,79,89,53.46,86,52.68,66,47.33,,,,,,,,,,,,,,,,,3,241,,
71,48,37,86,42.19,69,27.9,4.5,17.8,5.5,16.65,4,,,R7,8.85,73,114,58.69,140,62.91,,,,,,,,,,,,,,,,,,,2,254,,
71,48,37,86,42.19,69,27.9,7.5,19.5,1.5,,,,,R8,7.74,64,100,55.43,107,56.06,72,49.07,103,55.71,,,,,,,,,,,,,,,4,382,,
