Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Varieté 48/52 : Arbre 11 / ligne 13 ,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,Rameaux,,,Fruit 1 ,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,,Fruit 9,,Fruit 10,,Fruit 11,,,,Chiffons ,,Chiffons ,,,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Nombre de fruit,RDT,Poids ,diamètre ,Poids ,diamètre ,,moy-poids
71.5,45,32,55,22.22,14.5,,,,,,,,,R1,4.8,15.3,111,58.07,78,52.23,,,,,,,,,,,,,,,,,,,2,189,94,54.53,,,,116.75700934579439
71.5,45,32,55,22.22,32.5,,,,,,,,,R2,4.9,21.5,118,60.33,,,,,,,,,,,,,,,,,,,,,1,118,199,73.51,,,,
71.5,45,32,55,22.22,53.5,,,,,,,,,R3,4.2,25,130,58.38,,,,,,,,,,,,,,,,,,,,,1,130,178,69.29,,,,
71.5,45,32,55,22.22,60,,,,,,,,,R4,4.32,27,118,58.25,,,,,,,,,,,,,,,,,,,,,1,118,162,64.41,,,,
71.5,45,32,62,14.8,27,,,,,,,,,R5,7.88,81,146,61.86,90,51.24,95,51.29,,,,,,,,,,,,,,,,,3,331,152,64.8,,,,
71.5,45,32,62,14.8,32,,,,,,,,,R6,8.39,77,93,52.42,149,63.29,,,,,,,,,,,,,,,,,,,2,242,169,67.55,,,,
71.5,45,32,64.5,,,,,,,,,,,R7,6.17,76,128,61.6,111,55.92,,,,,,,,,,,,,,,,,,,2,239,154,67.04,,,,
71.5,45,32,69.5,58.61,15,,,,,,,,,R8,9.31,69,122,59.65,65,46.11,46,38.78,,,,,,,,,,,,,,,,,3,233,233,74.37,,,,
