Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Varieté 48/52 : Arbre 6 / ligne 11,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,Rameaux,,,Fruit 1 ,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,,Fruit 9,,,,Chiffons ,,,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Nombre de fruit,RDT,Poids ,diamètre ,,moy-poids
77,45,25.5,67,40.32,6,,,,,,,,,R1,7.55,92,133,60.98,121,59.15,,,,,,,,,,,,,,,2,254,,,,131.98420000000002
77,45,25.5,67,40.32,34.5,,,,,,,,,R2,11.67,127,123,59.29,100,53.64,94,53.5,100,54.05,108,59.23,,,,,,,,,5,525,,,,
77,45,25.5,67,40.32,90,,,,,,,,,R3,7.84,72.5,131.98,,154,61.19,131.98,,149,63.38,,,,,,,,,,,4,566.96,,,,
77,45,25.5,67,40.32,93.6,,,,,,,,,R4,8.62,67,131,60.39,105,56.23,98,54.03,96,52.72,,,,,,,,,,,4,430,,,,
77,45,25.5,67,40.32,141.6,,,,,,,,,R5,7,29.5,133,62.36,147,63.95,,,,,,,,,,,,,,,2,280,,,,
77,45,25.5,67,40.32,145.6,,,,,,,,,R6,5.33,41,119,60.01,147,62.93,,,,,,,,,,,,,,,2,266,,,,
77,45,25.5,80,,,,,,,,,,,R7,4.59,31,74,48.76,,,,,,,,,,,,,,,,,1,74,,,,
77,45,25.5,118,,,,,,,,,,,R8,6.68,46,136,60.7,146,65.37,98,54.07,,,,,,,,,,,,,3,380,,,,
