Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,Arbre N° : 8,,Ligne N° : 14,,Variété : Nectarinier N 46-28,,,,,Parcelle : 1314,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tronc,,charpant,,1 er ss charpant,,2 éme ss charpant,,3 éme ss charpant,,4éme charpant,,5éme charpant,,Rameaux,,,FRUIT 1,,FRUIT 2,,FRUIT 3,,FRUIT 4,,FRUIT 5,,FRUIT 6,,FRUIT 7,,,
Diam,Long,Diam,long,Diam,long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,,
81,14,37,89,44.6,24,7.8,4,,,,,,,R1,5.3,52,140,62.66,170,63.26,160,65.22,,,,,,,,,3.0,
81,14,37,89,44.6,55,7.8,4,,,,,,,R2,5.7,39,110,63.91,110,64.56,100,61.14,,,,,,,,,3.0,
81,14,37,89,44.6,93,10.7,8,,,,,,,R3,6.7,50,120,69.29,190,63.31,,,,,,,,,,,2.0,
81,14,37,117,81,5,27,23,,,,,,,R4,4.6,26,130,63.5,,,,,,,,,,,,,1.0,
81,14,37,117,81,5,27,30,,,,,,,R5,6.4,70,70,52.48,80,56.82,120,64.16,,,,,,,,,3.0,
81,14,37,117,81,5,27,55,,,,,,,R6,5.7,66,180,68.51,70,49.34,,,,,,,,,,,2.0,
81,14,37,117,81,5,27,58,,,,,,,R7,6.7,53,160,68.3,,,,,,,,,,,,,1.0,
81,14,37,117,81,34,28.4,11.4,10,0,,,,,R8,8,30,,,,,,,,,,,,,,,0.0,
81,14,37,117,81,89,28,2.5,,,,,,,R9,10,75,50,44.98,40,42.79,60,50.24,80,49.13,40,43.55,,,,,5.0,
81,14,37,117,81,89,28,5.5,12.7,7,,,,,R10,5.2,32,100,61.44,70,49.8,,,,,,,,,,,2.0,
81,14,37,117,81,95,42,5,,,,,,,R11,8.7,87,100,98.48,70,48.57,130,69.02,90,56.97,,,,,,,4.0,
81,14,37,117,81,99,21,12,,,,,,,R12,6.4,41,120,60.47,140,68.02,120,65.97,,,,,,,,,3.0,
81,14,37,117,81,99,21,14,,,,,,,R13,6.6,68,110,61.77,110,58.33,,,,,,,,,,,2.0,
81,14,37,117,81,107,75,1,44.8,4,,,,,R14,4.2,22,120,66.32,,,,,,,,,,,,,1.0,
81,14,37,117,81,107,75,11,33.8,2,,,,,R15,6.4,43,70,57.68,50,48.32,50,47.66,,,,,,,,,3.0,
81,14,37,117,81,107,75,46,65,8,23.2,2.3,,,R16,6.4,70,130,68.62,110,61.66,,,,,,,,,,,2.0,
81,14,37,117,81,107,75,46,65,8,23.2,4.3,,,R17,6.6,47,110,62.15,140,65.69,140,67.36,160,66.86,,,,,,,4.0,
81,14,37,117,81,107,75,46,65,15,28.3,1.8,,,R18,6,25,140,66.31,130,67.05,,,,,,,,,,,2.0,
81,14,37,117,81,107,75,46,65,38,23.3,60,,,R19,6.3,28,120,60.62,130,63.48,150,73.46,160,70.08,,,,,,,4.0,
81,14,37,188,46.4,25,15.2,11,,,,,,,R20,9.4,,90,55.21,130,63.89,70,65.48,80,51.28,,,,,,,4.0,
81,14,37,188,46.4,36.2,,,,,,,,,R21,5.3,20.3,,,,,,,,,,,,,,,0.0,
81,14,37,188,46.4,52.7,,,,,,,,,R22,6.8,28,90,55.21,130,63.89,70,65.48,80,51.28,,,,,,,4.0,
81,14,37,188,46.4,56.900000000000006,10.8,10,,,,,,,R23,9.1,,60,48.52,70,52.04,70,50.26,,,,,,,,,3.0,
81,14,37,244,50.3,7,16.6,14.4,,,,,,,R24,6.3,40,150,68.56,110,70.32,120,68.64,130,66.88,,,,,,,4.0,
81,14,37,263,54.8,3,27,4,,,,,,,R25,5.3,26,140,65.32,140,67.43,,,,,,,,,,,2.0,
81,14,37,263,54.8,3,27,42,,,,,,,R26,5.2,50,110,60.13,100,59.32,100,59.68,100,59.53,,,,,,,4.0,
81,14,37,263,54.8,3,27,48,,,,,,,R27,6.5,57,130,68.33,130,67.62,120,62.24,100,56.82,80,53.47,,,,,5.0,
