Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Arbre N° : 7,,Ligne N° : 7,,Variété : ,Nectarinier ,,,,Parcelle :  1306,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tronc,,charpant,,1 er ss charpant,,2 éme ss charpant,,3 éme ss charpant,,4 éme ss charpant,,5 éme ss charpant,,Rameaux,,,FRUIT 1,,FRUIT 2,,FRUIT 3,,FRUIT 4,,FRUIT 5,,FRUIT 6,,FRUIT 7,,,,,,
,,Diam,Long,Diam,long,Diam,long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Nbr de fruit par rameau,Poid total de fruit  par rameau,,,
,,82,45,40,55,111,39,53.2,3.7,19,12,,,,,R 1,10,79,145,61.97,98,53.84,115,58.9,125,61.8,,,,,,,4,483,,,
,,82,45,40,55,111,39,53.2,3.7,19,26,,,,,R 2,4.8,51,87,52.7,107,58.42,,,,,,,,,,,2,194,,,
,,82,45,40,55,111,39,53.2,7.2,24.4,0,,,,,R 3,7.4,109,90,58.8,108,60.11,100,57.92,20,17.66,,,,,,,4,318,,,
,,82,45,40,67,38.6,36.7,19.1,20.8,,,,,,,R 4,6.7,67,126,61.28,,,,,,,,,,,,,1,126,,,
,,82,45,40,67,38.6,36.7,19.1,31.8,,,,,,,R 5,7.3,66,160,67.14,77,38.5,41,26.43,106,44.14,66,34.15,,,,,5,450,,,
