Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Arbre N° : 12,,Ligne N° : 11,,,"Variété : Nectarinier ""Spring Bright """,,,,Parcelle : 1306,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tronc,,charpant,,1 er ss charpant,,2 éme ss charpant,,3 éme ss charpant,,4 éme ss charpant,,5 éme ss charpant,,Rameaux,,,FRUIT 1,,FRUIT 2,,FRUIT 3,,FRUIT 4,,FRUIT 5,,FRUIT 6,,FRUIT 7,,,
,,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Nbr de fruit par rameau,Poid total de fruit  par rameau
,,76,52,33.5,92,41.1,19,,,,,,,,,R1,8.4,63,103,58.63,,,,,,,,,,,,,1,103
,,76,52,33.5,92,41.1,27.5,,,,,,,,,R2,6.1,60,104,51.22,91,55.31,68,51.42,122,62.77,,,,,,,4,385
,,76,52,33.5,92,41.1,40,14.4,17.4,,,,,,,R3,3.5,27,93,56.87,,,,,,,,,,,,,3,93
,,76,52,33.5,92,41.1,40,14.4,24.4,,,,,,,R4,5.4,37,162,66.25,84,54.47,,,,,,,,,,,2,246
,,76,52,33.5,92,41.1,40,14.4,29.599999999999998,,,,,,,R5,4.5,20,,,,,,,,,,,,,,,0,0
,,76,52,33.5,92,41.1,40,14.4,40.3,,,,,,,R6,5,25,,,,,,,,,,,,,,,0,0
,,76,52,33.5,92,41.1,40,14.4,49.3,,,,,,,R7,6.6,42,,,,,,,,,,,,,,,0,0
,,76,52,33.5,144,57.2,12,22,3,8.9,8,,,,,R8,6.1,25.9,,,,,,,,,,,,,,,0,0
,,76,52,33.5,144,57.2,12,22,3,8.9,13.2,,,,,R9,5.9,28,,,,,,,,,,,,,,,0,0
,,76,52,33.5,164,67.8,48,20.5,5.7,,,,,,,R10,8.5,80,86,53.83,57,50.83,,,,,,,,,,,2,143
,,76,52,33.5,164,67.8,48,20.5,27.7,,,,,,,R11,8.7,54,211,71.49,177,69.73,136,64.08,,,,,,,,,3,524
,,76,52,33.5,164,67.8,67,42.5,34.5,,,,,,,R12,9.6,84,176,68.3,,,,,,,,,,,,,1,176
,,76,52,33.5,164,67.8,67,42.5,39.5,32.5,2,,,,,R13,12.2,105,156,65.47,205,70.49,137,63.47,,,,,,,,,3,498
,,76,52,33.5,164,67.8,67,42.5,39.5,32.5,4.5,,,,,R14,8.5,81,124,62.62,88,55.91,132,61.6,153,64.69,124,57.31,111,57.9,,,6,732
,,76,52,33.5,164,67.8,67,42.5,39.5,32.5,19.5,,,,,R15,8.9,64,137,63.01,129,59.85,99,52.07,,,,,,,,,3,365
,,76,52,33.5,164,67.8,67,42.5,39.5,32.5,62.5,,,,,R16,6.2,39,210,73.53,,,,,,,,,,,,,1,210
,,76,52,33.5,164,67.8,67,42.5,39.5,32.5,66.5,,,,,R17,7.1,62,193,72.15,,,,,,,,,,,,,1,193
,,76,52,33.5,164,67.8,67,42.5,49.5,26,22,,,,,R18,10.5,81,136,62.44,113,60.32,124,58.66,144,64.84,,,,,,,4,517
,,76,52,33.5,164,67.8,67,42.5,49.5,26,33,13.9,10,,,R19,8.6,57,170,70.69,,,,,,,,,,,,,1,170
,,76,52,33.5,164,67.8,67,42.5,49.5,26,33,13.9,17,,,R20,6.5,49,222,74.16,102,60.59,,,,,,,,,,,2,324
,,76,52,33.5,171,84.2,17,28.4,27.3,10.7,5,,,,,R21,3.6,24,,,,,,,,,,,,,,,0,0
,,76,52,33.5,171,84.2,17,28.4,27.3,10.7,48,12.1,7,,,R22,5.7,37,215,70.09,,,,,,,,,,,,,1,215
,,76,52,33.5,171,84.2,52.5,,,,,,,,,R23,9.9,87,,,,,,,,,,,,,,,0,0
,,76,52,33.5,171,84.2,58.7,,,,,,,,,R24,8,61,122,58.74,,,,,,,,,,,,,1,122
,,76,52,33.5,171,84.2,98.7,32.9,2,,,,,,,R25,9.8,32,142,71.11,,,,,,,,,,,,,1,142
,,76,52,33.5,171,84.2,107.7,46,30,,,,,,,R26,9.2,84,112,59.36,108,55.09,182,69.43,,,,,,,,,3,402
,,76,52,33.5,171,84.2,107.7,46,37,,,,,,,R27,9.3,80,71,46.74,127,63.94,78,54.61,,,,,,,,,3,276
,,76,52,33.5,171,84.2,107.7,46,41,,,,,,,R28,10.7,82,142,64.13,148,67.34,186,69.53,204,70.55,,,,,,,4,680
,,76,52,33.5,171,84.2,110.7,35.2,10,9.1,3,,,,,R29,7,20.2,239,75.46,,,,,,,,,,,,,1,239
,,76,52,33.5,171,84.2,110.7,35.2,46,,,,,,,R30,6.3,31,108,54.89,212,75.68,,,,,,,,,,,2,320
,,76,52,33.5,171,84.2,110.7,35.2,50,,,,,,,R31,10.4,63,191,70.78,,,,,,,,,,,,,1,191
,,76,52,33.5,171,84.2,110.7,35.2,67,21,11,,,,,R32,8.7,39,147,67.28,,,,,,,,,,,,,1,147
,,76,52,33.5,171,84.2,110.7,35.2,67,21,14,,,,,R33,7.7,39,189,67.28,142,64.38,,,,,,,,,,,2,331
,,76,52,33.5,171,84.2,110.7,35.2,67,21,17.9,,,,,R34,8,47,194,72.49,,,,,,,,,,,,,1,194
,,76,53,44,65,50.5,3,19.8,12,,,,,,,R35,4.7,55,173,71.65,,,,,,,,,,,,,1,173
,,76,53,44,90,19.4,20,,,,,,,,,R36,3.3,26,128,61.68,,,,,,,,,,,,,1,128
,,76,53,44,94,51.5,8,39.5,25,25.8,1.5,9.2,3,,,R37,5.4,45,,,,,,,,,,,,,,,0,0
,,76,53,44,94,51.5,8,39.5,34,21,2,,,,,R38,4.9,41,98,51.41,,,,,,,,,,,,,1,98
,,76,53,44,94,51.5,8,39.5,34,21,42,7.7,7,,,R39,5.1,37,76,52.33,,,,,,,,,,,,,1,76
,,76,53,44,94,51.5,8,39.5,34,21,45,,,,,R40,8.2,93,125,55.18,87,51.82,114,58.96,105,57.31,94,53.26,,,,,5,525
,,76,53,44,94,51.5,69,38.2,5,24.4,4.2,,,,,R41,5.3,50,154,68.35,,,,,,,,,,,,,1,154
,,76,53,44,94,51.5,91,27.8,2,10.8,10,,,,,R42,6.3,38,137,62.38,182,67.31,,,,,,,,,,,2,319
,,76,53,44,94,51.5,91,27.8,2,10.8,17,11.9,1,,,R43,7.2,37,174,72.33,111,61.61,,,,,,,,,,,2,285
,,76,53,44,94,51.5,91,27.8,7,20.1,3,,,,,R44,11,99,114,60.65,130,61.39,171,65.53,48,39.55,147,65.32,,,,,5,610
,,76,53,44,94,51.5,91,27.8,7,20.1,12,,,,,R45,6.9,51,103,55.68,131,61.62,,,,,,,,,,,2,234
